SYMBOL,PBS_IR_DMXAA,Ure_IR,Ure_mock_IR,Ure_mock_IR_DMXAA,control,Difference_Ure_IR_vs_Ure_mock_IR,Difference_Ure_IR_vs_Ure_mock_IR_DMXAA,Difference_Ure_mock_IR_vs_Ure_mock_IR_DMXAA
Cacnb2,0,1,0,0,0,1,1,0
Capzb,0,1,0,0,0,1,1,0
Casc3,0,1,0,0,0,1,1,0
Catsperd,0,1,1,0,0,0,1,1
Catspere2,0,1,0,0,0,1,1,0
Cblc,0,1,0,0,0,1,1,0
Cbll1,0,1,0,0,0,1,1,0
Cdh11,0,1,0,0,0,1,1,0
Cbx7,0,1,0,0,0,1,1,0
Cc2d1a,0,1,0,0,0,1,1,0
Ccar1,0,1,0,0,0,1,1,0
Ccbe1,0,1,0,0,0,1,1,0
Ccdc155,0,1,0,0,0,1,1,0
Ccdc177,0,1,1,0,0,0,1,1
Ccdc180,0,1,0,0,0,1,1,0
Ccdc88a,0,1,0,0,0,1,1,0
Ccp110,0,1,0,0,0,1,1,0
Cd47,0,1,0,0,0,1,1,0
Cdan1,0,1,0,0,0,1,1,0
Cbx1,0,1,0,0,0,1,1,0
Cryba2,0,1,0,0,0,1,1,0
Crybb1,0,1,0,0,0,1,1,0
Cs,0,1,0,0,0,1,1,0
Ctdp1,0,1,0,0,0,1,1,0
Ctsw,0,1,0,0,0,1,1,0
Cttnbp2,0,1,1,0,0,0,1,1
Cwf19l2,0,1,0,0,0,1,1,0
Cwh43,0,1,0,0,0,1,1,0
Cxcr5,0,1,0,0,0,1,1,0
Cyp2c66,0,1,0,0,0,1,1,0
Chodl,0,1,0,0,0,1,1,0
Cyp7a1,0,1,0,0,0,1,1,0
Cytl1,0,1,0,0,0,1,1,0
Dact1,0,1,0,0,0,1,1,0
Dcaf12l2,0,1,0,0,0,1,1,0
Dcbld1,0,1,0,0,0,1,1,0
Dctn2,0,1,0,0,0,1,1,0
Ddx17,0,1,1,0,0,0,1,1
Ddx60,0,1,0,0,0,1,1,0
Decr2,0,1,0,0,0,1,1,0
Dera,0,1,0,0,0,1,1,0
Dhx35,0,1,0,0,0,1,1,0
Cyp2g1,0,1,0,0,0,1,1,0
Chst11,0,1,0,0,0,1,1,0
Chst9,0,1,0,0,0,1,1,0
Clasp2,0,1,0,0,0,1,1,0
Clcnkb,0,1,0,0,0,1,1,0
Clec7a,0,1,0,0,0,1,1,0
Clpb,0,1,0,0,0,1,1,0
Clptm1,0,1,1,0,0,0,1,1
Clta,0,1,0,0,0,1,1,0
Cmtr1,0,1,0,0,0,1,1,0
Cnn3,0,1,0,0,0,1,1,0
Crocc,0,1,0,0,0,1,1,0
Cog1,0,1,0,0,0,1,1,0
Col22a1,0,1,1,0,0,0,1,1
Col2a1,0,1,1,0,0,0,1,1
Col4a5,0,1,0,0,0,1,1,0
