,ID,Gene.name,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000037594,ENSMUSG00000037594,BC022687,-0.180408103,5.265313489,2.358376793,0.124611791,0.44002103
ENSMUSG00000034706,ENSMUSG00000034706,Dnaic2,-0.212360993,3.903873328,2.357287731,0.124698829,0.440238197
ENSMUSG00000024644,ENSMUSG00000024644,Cndp2,-0.210559086,6.88274169,2.356636837,0.124750881,0.440251664
ENSMUSG00000035597,ENSMUSG00000035597,Prpf39,0.192033375,5.579192802,2.356601344,0.12475372,0.440251664
ENSMUSG00000058153,ENSMUSG00000058153,Sez6l,-0.675235572,0.004804069,2.355867075,0.12481247,0.440368843
ENSMUSG00000028041,ENSMUSG00000028041,Adam15,-0.175607228,6.642645141,2.354143928,0.124950462,0.440740169
ENSMUSG00000032050,ENSMUSG00000032050,Rdx,0.15553293,8.241525065,2.353914509,0.124968847,0.440740169
ENSMUSG00000020381,ENSMUSG00000020381,Mrnip,0.498671139,0.708301101,2.351069433,0.125197093,0.441284763
ENSMUSG00000006412,ENSMUSG00000006412,Pfdn2,0.199963583,5.293518222,2.351056003,0.125198171,0.441284763
ENSMUSG00000029464,ENSMUSG00000029464,Gpn3,0.193264362,4.528826004,2.350899324,0.125210754,0.441284763
ENSMUSG00000025959,ENSMUSG00000025959,Klf7,0.194912014,6.334592474,2.350497224,0.125243054,0.441284763
ENSMUSG00000027589,ENSMUSG00000027589,Pcmtd2,0.147899858,6.177934536,2.350395175,0.125251253,0.441284763
ENSMUSG00000028434,ENSMUSG00000028434,Epb41l4b,0.159169159,6.511216245,2.349802555,0.125298877,0.441362349
ENSMUSG00000018076,ENSMUSG00000018076,Med13l,0.153291269,6.447860784,2.349005841,0.125362934,0.441497776
ENSMUSG00000044352,ENSMUSG00000044352,Sowaha,0.417409298,1.139510087,2.34747364,0.125486227,0.441616622
ENSMUSG00000028191,ENSMUSG00000028191,Bcl10,-0.165833949,5.517933436,2.347340275,0.125496965,0.441616622
ENSMUSG00000032602,ENSMUSG00000032602,Slc25a20,-0.204876971,5.240942852,2.347304602,0.125499838,0.441616622
ENSMUSG00000028602,ENSMUSG00000028602,Tnfrsf8,-0.61123315,-0.100012865,2.347020991,0.125522677,0.441616622
