Gene,Symbol,Ure,Ure,Ure,Ure_DMXAA,Ure_DMXAA,Ure_DMXAA,Ure_RT,Ure_RT,Ure_RT,Ure_RT_DMXAA,Ure_RT_DMXAA,Ure_RT_DMXAA,PBS_RT_DMXAA,PBS_RT_DMXAA,PBS_RT_DMXAA
ENSMUSG00000028033,Kcnq5,11.30126816,11.43340664,9.480757695,10.66586762,9.747009699,12.64571807,10.22318083,7.794992414,7.777232185,7.236193257,6.157888158,6.310147858,7.270372468,5.272979926,7.127451078
ENSMUSG00000082935,Gm7658,2.760217568,2.722239676,3.000239777,2.245445815,2.032798814,2.403258638,2.467664339,2.068059212,1.984814464,2.09045583,2.972773594,2.683054995,2.203143172,2.292599968,2.332023164
ENSMUSG00000041670,Rims1,0.624954921,0.786424795,1.08008632,0.467801212,1.876429675,0.743865769,0.293769564,0.318162956,0.526583429,0.321608589,0.371596699,0.298117222,0.183595264,0.550223992,0.39414476
ENSMUSG00000097970,Gm27028,2.135262647,2.540757031,1.920153457,2.292225937,2.137044907,1.258849763,1.527601733,0.901461708,0.931647606,0.911224336,0.902449127,1.639644719,1.211728745,1.329707981,1.149588884
ENSMUSG00000026158,Ogfrl1,27.23761864,30.06562486,36.90294925,35.74001256,38.77954661,36.84996578,33.07845292,52.54991485,39.08869302,55.20947448,53.98769187,54.30702054,38.37141025,53.32587525,42.00926235
ENSMUSG00000026156,B3gat2,2.135262647,1.754332235,1.920153457,1.21628315,1.511568349,1.8310542,1.321963039,1.696869097,1.498737452,1.983252967,2.12340971,2.186192959,0.844538216,1.467263979,1.707960627
ENSMUSG00000026155,Smap1,38.33056849,38.35333232,35.58284375,35.64645232,33.93210328,35.59111602,34.28290813,36.95993002,37.63046198,39.45065361,37.74360759,36.51935965,38.4081293,37.14011948,34.75042968
ENSMUSG00000026154,Sdhaf4,9.426403393,10.58648763,11.52092074,9.356024231,10.63310149,11.78741141,9.782526485,9.491861511,9.843059485,9.755460539,10.82938952,10.38441655,10.79540154,12.10492783,10.24776376
ENSMUSG00000026153,Fam135a,32.28933759,31.57798024,24.60196617,35.92713305,34.55757984,38.73824042,35.63424813,32.08143137,34.87602558,33.60809757,33.01902099,32.79289438,28.49398503,29.43698359,32.68116969
ENSMUSG00000100131,Gm28439,1.354068996,2.17779174,0.960076729,1.917984967,1.19883007,1.8310542,1.586355646,2.015032053,2.106333717,2.197658693,2.070324467,1.937761941,1.211728745,1.329707981,1.905033007
