"","ID","Gene.name","logFC","logCPM","LR","PValue"
"11989","ENSMUSG00000020534","Shmt1",0.470839434422293,4.07226815516563,2.15214255157972,0.142371090298555
"11990","ENSMUSG00000042569","Dhrs7b",-0.101664808512985,4.32120027522543,0.34418377683836,0.557424164486911
"11991","ENSMUSG00000043284","Tmem11",0.113985093953055,5.01296388399826,0.255813955554026,0.613010720435717
"11992","ENSMUSG00000018931","Natd1",-0.185803622124632,5.00726399164412,1.35450562793261,0.244491978687979
"11993","ENSMUSG00000042549","Map2k3os",0.0159565869255384,0.972399713724518,0.00154417603838208,0.96865439140772
"11994","ENSMUSG00000018932","Map2k3",-0.0276063700434376,6.58868816176322,0.0265789659078877,0.870494367328185
"11995","ENSMUSG00000042529","Kcnj12",0.0892914331511563,1.23283081413576,0.0420760318866282,0.837474909664201
"11996","ENSMUSG00000010142","Tnfrsf13b",0.264619749723771,3.16920728812297,0.963177424808754,0.326387624150745
"11997","ENSMUSG00000042506","Usp22",-0.00946591747789877,6.51597914584606,0.00330711278383866,0.954140930285431
"11998","ENSMUSG00000019102","Aldh3a1",0.711480514042157,4.87702798682104,1.19077359077123,0.275173569396945
"11999","ENSMUSG00000010025","Aldh3a2",-0.0149237487293853,7.13820158407955,0.00963806706591752,0.921794399510631
"12000","ENSMUSG00000010122","Slc47a1",-0.155470357842664,1.41285069734012,0.0841112133606474,0.771801447537268
"12001","ENSMUSG00000109829","Gm45605",0.580840025468978,1.23226666096836,2.17442438134999,0.140322010232212
"12002","ENSMUSG00000042436","Mfap4",-0.151614856605007,9.75588250227785,1.00844988274936,0.315274485711617
"12003","ENSMUSG00000001034","Mapk7",0.0558505150452162,4.87883801294251,0.137757110288114,0.710521007993419
"12004","ENSMUSG00000001039","B9d1",-0.0284484038269435,3.11220460680666,0.0121560723033642,0.912207477879058
"12005","ENSMUSG00000001036","Epn2",0.0358603012897315,7.30949225810533,0.0499965536738631,0.823069270728909
"12006","ENSMUSG00000004837","Grap",0.146725843209888,6.2733356309619,0.573807498981097,0.448749872166697
"12007","ENSMUSG00000042377","Fam83g",0.712236271632234,3.00897906255815,5.4657529140168,0.0193926970131015
"12008","ENSMUSG00000020528","Prpsap2",0.018384903120274,4.17969356831289,0.00787993291048439,0.929265505788464
"12009","ENSMUSG00000004798","Ulk2",-0.334593879069127,6.76706150636731,3.44918126954509,0.0632831097318038
"12010","ENSMUSG00000072847","A530017D24Rik",0.0755003081821889,2.75366736829552,0.0833935949331883,0.772750126909906
"12011","ENSMUSG00000098196","Gm26964",-0.283309380714357,-0.174646324953663,0.228447078846185,0.632677694378973
"12012","ENSMUSG00000047804","Akap10",0.12328244518576,5.08271904029832,0.721753829327244,0.395569223261541
"12013","ENSMUSG00000042331","Specc1",0.10686346615114,6.08619789317858,0.406230739277684,0.523888859787372
"12014","ENSMUSG00000018500","Adora2b",-0.214897516727387,3.93849378843613,0.562437613433382,0.453279755079657
"12015","ENSMUSG00000014243","Zswim7",-0.0977767331402016,1.57817556753673,0.0470229854535011,0.82832692841858
