gene1	gene2	correlation	module1	module2
ENSMUSG00000044594	ENSMUSG00000047884	0.7180614405514304	brown	brown
ENSMUSG00000044594	ENSMUSG00000038670	0.7209331695439987	brown	brown
ENSMUSG00000044594	ENSMUSG00000030730	0.7790369123502261	brown	brown
ENSMUSG00000044594	ENSMUSG00000030672	0.7914606077937066	brown	brown
ENSMUSG00000044594	ENSMUSG00000031097	0.7845330565859009	brown	brown
ENSMUSG00000044594	ENSMUSG00000061723	0.7761901864072069	brown	brown
ENSMUSG00000044594	ENSMUSG00000000031	0.7745380072051566	brown	brown
ENSMUSG00000044594	ENSMUSG00000019851	0.7254987816869319	brown	brown
ENSMUSG00000044594	ENSMUSG00000005355	0.7964101856920046	brown	brown
ENSMUSG00000044594	ENSMUSG00000020216	0.7711648387645961	brown	brown
ENSMUSG00000044594	ENSMUSG00000020061	0.794792064863035	brown	brown
ENSMUSG00000044594	ENSMUSG00000035923	0.7803871202077006	brown	brown
ENSMUSG00000044594	ENSMUSG00000059230	0.7874926876407348	brown	brown
ENSMUSG00000044594	ENSMUSG00000078144	0.7385890068613837	brown	brown
ENSMUSG00000044594	ENSMUSG00000074156	0.7733790172194548	brown	brown
ENSMUSG00000044594	ENSMUSG00000031757	0.7937640758724049	brown	brown
ENSMUSG00000044594	ENSMUSG00000062826	0.7543966493890429	brown	brown
ENSMUSG00000044594	ENSMUSG00000031972	0.7568998672747221	brown	brown
ENSMUSG00000044594	ENSMUSG00000068697	0.7745008976931752	brown	brown
ENSMUSG00000044594	ENSMUSG00000043681	0.7980935850378074	brown	brown
ENSMUSG00000044594	ENSMUSG00000032373	0.782293208593111	brown	brown
ENSMUSG00000044594	ENSMUSG00000032262	0.762346748330763	brown	brown
ENSMUSG00000044594	ENSMUSG00000059741	0.7372653826243349	brown	brown
ENSMUSG00000044594	ENSMUSG00000033196	0.7853797424332841	brown	brown
ENSMUSG00000044594	ENSMUSG00000056328	0.7832657479353461	brown	brown
ENSMUSG00000044594	ENSMUSG00000057003	0.7888592069101374	brown	brown
ENSMUSG00000044594	ENSMUSG00000055775	0.792741895564271	brown	brown
ENSMUSG00000044594	ENSMUSG00000032807	0.787762060449105	brown	brown
ENSMUSG00000044594	ENSMUSG00000017204	0.786437047928596	brown	brown
ENSMUSG00000044594	ENSMUSG00000044041	0.790985821334749	brown	brown
ENSMUSG00000044594	ENSMUSG00000054146	0.7201041718440038	brown	brown
ENSMUSG00000044594	ENSMUSG00000045545	0.745492667828758	brown	brown
ENSMUSG00000044594	ENSMUSG00000020722	0.7690106054657753	brown	brown
ENSMUSG00000044594	ENSMUSG00000018862	0.7883493082769747	brown	brown
ENSMUSG00000044594	ENSMUSG00000033765	0.7921881416653065	brown	brown
ENSMUSG00000044594	ENSMUSG00000021506	0.7761914892128172	brown	brown
ENSMUSG00000044594	ENSMUSG00000021565	0.7626167013933673	brown	brown
ENSMUSG00000044594	ENSMUSG00000034634	0.7501303561039042	brown	brown
ENSMUSG00000044594	ENSMUSG00000061527	0.7356265815465785	brown	brown
ENSMUSG00000044594	ENSMUSG00000059668	0.7802508975408761	brown	brown
ENSMUSG00000044594	ENSMUSG00000050463	0.7669313107561097	brown	brown
ENSMUSG00000044594	ENSMUSG00000090356	0.7865484621784747	brown	brown
ENSMUSG00000044594	ENSMUSG00000034362	0.7819523172038673	brown	brown
ENSMUSG00000044594	ENSMUSG00000046748	0.7684296575897875	brown	brown
ENSMUSG00000044594	ENSMUSG00000062713	0.7682454422539525	brown	brown
ENSMUSG00000044594	ENSMUSG00000002500	0.76212678761681	brown	brown
ENSMUSG00000044594	ENSMUSG00000092586	0.7855115360961233	brown	brown
ENSMUSG00000044594	ENSMUSG00000039518	0.7936440485566842	brown	brown
ENSMUSG00000044594	ENSMUSG00000039269	0.7961016749272457	brown	brown
ENSMUSG00000044594	ENSMUSG00000025431	0.8048553101083132	brown	brown
ENSMUSG00000044594	ENSMUSG00000040694	0.7154764062470901	brown	brown
ENSMUSG00000044594	ENSMUSG00000059898	0.7616557695835937	brown	brown
ENSMUSG00000044594	ENSMUSG00000044322	0.7713093746028588	brown	brown
ENSMUSG00000044594	ENSMUSG00000069441	0.7746478760462918	brown	brown
ENSMUSG00000044594	ENSMUSG00000061928	0.7860618152102138	brown	brown
ENSMUSG00000044594	ENSMUSG00000056632	0.7920654521090034	brown	brown
ENSMUSG00000044594	ENSMUSG00000071858	0.7809512457443012	brown	brown
ENSMUSG00000044594	ENSMUSG00000024471	0.7771517310402668	brown	brown
ENSMUSG00000044594	ENSMUSG00000069372	0.7976597972549246	brown	brown
ENSMUSG00000044594	ENSMUSG00000049173	0.7809936301228173	brown	brown
ENSMUSG00000044594	ENSMUSG00000075296	0.775778328982193	brown	brown
ENSMUSG00000044594	ENSMUSG00000006457	0.7791789988682053	brown	brown
ENSMUSG00000044594	ENSMUSG00000056078	0.7941099386780471	brown	brown
ENSMUSG00000073602	ENSMUSG00000061816	0.7156244578255188	brown	brown
ENSMUSG00000073602	ENSMUSG00000050296	0.7160643628693424	brown	brown
ENSMUSG00000073602	ENSMUSG00000059956	0.7852836513498807	brown	brown
ENSMUSG00000073602	ENSMUSG00000044594	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000073601	0.7904841126487525	brown	brown
ENSMUSG00000073602	ENSMUSG00000026327	0.7725947684661398	brown	brown
ENSMUSG00000073602	ENSMUSG00000026450	0.7511247650038122	brown	brown
ENSMUSG00000073602	ENSMUSG00000026413	0.7800340489794105	brown	brown
ENSMUSG00000073602	ENSMUSG00000026407	0.7665715051805253	brown	brown
ENSMUSG00000073602	ENSMUSG00000007122	0.7641741800984263	brown	brown
ENSMUSG00000073602	ENSMUSG00000026983	0.7826770442570595	brown	brown
ENSMUSG00000073602	ENSMUSG00000036731	0.7725939042720268	brown	brown
ENSMUSG00000073602	ENSMUSG00000026950	0.7636515109773777	brown	brown
