"gene1","module1","EntrezID"
"ENSMUSG00000060550","blue","15018"
"ENSMUSG00000090509","blue","433102"
"ENSMUSG00000003541","blue","15937"
"ENSMUSG00000073405","blue","667803"
"ENSMUSG00000073400","blue","19824"
"ENSMUSG00000036036","blue","22715"
"ENSMUSG00000024462","blue","54393"
"ENSMUSG00000056492","blue","224792"
"ENSMUSG00000040260","blue","76441"
"ENSMUSG00000024206","blue","19725"
"ENSMUSG00000024066","blue","22436"
"ENSMUSG00000045038","blue","18754"
"ENSMUSG00000024140","blue","13819"
"ENSMUSG00000005836","blue","14465"
"ENSMUSG00000102697","blue","353237"
"ENSMUSG00000024451","blue","106952"
"ENSMUSG00000051375","blue","75599"
"ENSMUSG00000024440","blue","53601"
"ENSMUSG00000038791","blue","117158"
"ENSMUSG00000071856","blue","328949"
"ENSMUSG00000019647","blue","20358"
"ENSMUSG00000052713","blue","269023"
"ENSMUSG00000033032","blue","106877"
"ENSMUSG00000045730","blue","11555"
"ENSMUSG00000024517","blue","225642"
"ENSMUSG00000024526","blue","12683"
"ENSMUSG00000024511","blue","80718"
"ENSMUSG00000053846","blue","16891"
"ENSMUSG00000025880","blue","17131"
"ENSMUSG00000024548","blue","240427"
"ENSMUSG00000056214","blue","93737"
"ENSMUSG00000040663","blue","56708"
"ENSMUSG00000056917","blue","20469"
"ENSMUSG00000092274","blue","66961"
"ENSMUSG00000024772","blue","13660"
"ENSMUSG00000024948","blue","26412"
"ENSMUSG00000032946","blue","19395"
"ENSMUSG00000033768","blue","18190"
"ENSMUSG00000069833","blue","66395"
"ENSMUSG00000024653","blue","22287"
"ENSMUSG00000039982","blue","207521"
"ENSMUSG00000036192","blue","225998"
"ENSMUSG00000024754","blue","83921"
"ENSMUSG00000067297","blue","112419"
"ENSMUSG00000067279","blue","53412"
"ENSMUSG00000025006","blue","20411"
"ENSMUSG00000025034","blue","93679"
"ENSMUSG00000053617","blue","14218"
"ENSMUSG00000025064","blue","12821"
"ENSMUSG00000035283","blue","11554"
