Unnamed: 0,ID_Ure_RT_vs_PBS,Gene.name,logFC_Ure_RT_vs_PBS,logCPM_Ure_RT_vs_PBS,LR_Ure_RT_vs_PBS,PValue_Ure_RT_vs_PBS,FDR_Ure_RT_vs_PBS,X,ID_Cluster1,logFC_Cluster1,logCPM_Cluster1,LR_Cluster1,PValue_Cluster1,FDR_Cluster1
ENSMUSG00000026581,ENSMUSG00000026581,Sell,1.10335640336471,5.06017157450225,18.4780167762088,1.7187540520269e-05,0.0023894839599106,ENSMUSG00000026581,ENSMUSG00000026581,1.10336261045364,5.25317169135088,32.400668540701,1.2544331114527e-08,6.00699233564806e-06
ENSMUSG00000059956,ENSMUSG00000059956,Serpinb12,11.1836279428099,1.42544191618444,34.0872282307084,5.269600562518561e-09,8.73043401340352e-06,,,,,,,
ENSMUSG00000044594,ENSMUSG00000044594,Serpinb3a,10.2220696200025,0.376751899793762,18.6180094549348,1.5970469820577e-05,0.0023238755444999,,,,,,,
ENSMUSG00000073601,ENSMUSG00000073601,Serpinb3c,10.824087805959,0.975569700358216,19.5229892651816,9.93962401273451e-06,0.0017484610036278,,,,,,,
ENSMUSG00000067006,ENSMUSG00000067006,Serpinb5,1.89430017015311,0.793740897141939,10.8653326205061,0.0009798115174492,0.0466601401914592,,,,,,,
ENSMUSG00000030468,ENSMUSG00000030468,Siglecg,1.31184246361278,2.78977067620199,14.8127094644428,0.0001187326137482,0.010550677981471,,,,,,,
ENSMUSG00000062713,ENSMUSG00000062713,Sim2,4.89664531170196,-0.738519599614314,11.001455920781,0.0009104034599412,0.0449697571516544,,,,,,,
ENSMUSG00000025938,ENSMUSG00000025938,Slco5a1,1.64390681716406,2.01008540333075,19.5643477876662,9.72674790080385e-06,0.0017484610036278,ENSMUSG00000025938,ENSMUSG00000025938,1.64260351934444,1.81226441248859,22.5977386343942,1.99719545450009e-06,0.0004032010227882
ENSMUSG00000045539,ENSMUSG00000045539,Sprr3,11.0068031829207,1.16144192512533,19.1458124690763,1.21102898028794e-05,0.0020268862709887,,,,,,,
ENSMUSG00000029254,ENSMUSG00000029254,Stap1,1.0086217455697,2.4138451534585,18.7344953481737,1.5023992228266e-05,0.0022920230267529,ENSMUSG00000029254,ENSMUSG00000029254,1.00868616720442,2.43956825502998,22.3437796969862,2.27950188173196e-06,0.0004271340536867
ENSMUSG00000027401,ENSMUSG00000027401,Tgm3,6.76898357595719,2.38942471699625,23.1855438574984,1.47098971437637e-06,0.0005217475295708,,,,,,,
ENSMUSG00000028148,ENSMUSG00000028148,Them5,3.33815582504113,-0.33720200869565,12.6624298270474,0.000373077038457,0.0248319500616257,,,,,,,
ENSMUSG00000079278,ENSMUSG00000079278,Tmem233,1.57314474047716,0.896020785122255,24.7210293402113,6.62572706236186e-07,0.0003005813390212,ENSMUSG00000079278,ENSMUSG00000079278,1.57111719021289,1.42184010356292,31.6219677236845,1.87298798089402e-08,8.07210995065801e-06
ENSMUSG00000068105,ENSMUSG00000068105,Tnfrsf13c,1.07537681761237,2.09818712722033,11.7730344875801,0.0006009493292431,0.0349992077257495,,,,,,,
ENSMUSG00000017300,ENSMUSG00000017300,Tnnc2,8.69541020900888,0.983693241679198,15.8859673109369,6.72756889699635e-05,0.0064791374421966,,,,,,,
ENSMUSG00000031097,ENSMUSG00000031097,Tnni2,4.62510098158774,2.17338894148022,22.6189215651675,1.97529628789246e-06,0.0005974058369645,,,,,,,
ENSMUSG00000061723,ENSMUSG00000061723,Tnnt3,3.84166293154561,3.66874866692812,17.8383984424705,2.40480974759097e-05,0.0032136833518388,,,,,,,
ENSMUSG00000025511,ENSMUSG00000025511,Tspan4,1.06986940662412,6.21862404436478,39.2885712900864,3.65574842977387e-10,1.05035745301453e-06,ENSMUSG00000025511,ENSMUSG00000025511,1.06984154347949,5.9429242381473,37.0097917980884,1.17537504549666e-09,6.98699669286792e-07
ENSMUSG00000042845,ENSMUSG00000042845,Wfdc12,2.38548594363706,0.449605673833255,12.4089243140187,0.000427286925302,0.0276917267115884,,,,,,,
ENSMUSG00000040154,ENSMUSG00000040154,Wfdc5,3.79511710641346,-0.819272951312625,19.6645663872811,9.22970321624409e-06,0.0017294658015742,,,,,,,
ENSMUSG00000031258,ENSMUSG00000031258,Xkrx,1.98167359417956,0.747259254884574,18.8901792640287,1.3846365863936e-05,0.0022101620474851,,,,,,,
ENSMUSG00000050600,ENSMUSG00000050600,Zfp831,1.205321974203,1.58119078021276,13.8519188830187,0.0001977946580183,0.0153593788719714,,,,,,,
