"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR","entrezgene_id"
"ENSMUSG00000038481","ENSMUSG00000038481","Cdk19",-0.769159027999613,6.91956791496192,31.6146792307754,1.88003080645749e-08,1.24653273355848e-05,78334
"ENSMUSG00000020889","ENSMUSG00000020889","Nr1d1",-1.40166250558674,6.20325745157911,30.5122002079014,3.31773507376508e-08,2.1183124050606e-05,217166
"ENSMUSG00000055254","ENSMUSG00000055254","Ntrk2",-1.71114385905772,5.87487717247706,30.3851863338799,3.54222929875785e-08,2.18087467433166e-05,18212
"ENSMUSG00000095497","ENSMUSG00000095497","Igkv1-122",3.86151057618763,3.56387869017493,30.0695305922766,4.16829242162359e-08,2.47783424332307e-05,NA
"ENSMUSG00000096672","ENSMUSG00000096672","Ighv1-63",2.57766570641398,1.32484330234294,29.9629866808781,4.40372557579815e-08,2.53052750670614e-05,NA
"ENSMUSG00000039405","ENSMUSG00000039405","Prss23",0.584884436218017,6.11650976399845,29.5114826541908,5.55864019098142e-08,3.09114187910738e-05,76453
"ENSMUSG00000014773","ENSMUSG00000014773","Dll1",1.06883394049877,4.71783975445037,29.2016478939099,6.52237093873728e-08,3.51372351915287e-05,13388
"ENSMUSG00000040035","ENSMUSG00000040035","Disp2",0.971130880579013,4.69385608244686,28.5070244671954,9.33591633818345e-08,4.87702611375589e-05,214240
"ENSMUSG00000030203","ENSMUSG00000030203","Dusp16",0.646008695050999,6.06389603094516,27.7983676299302,1.34639664225938e-07,6.82662697526751e-05,70686
"ENSMUSG00000022074","ENSMUSG00000022074","Tnfrsf10b",0.932467750326771,4.21592826251418,27.5420433611574,1.53716425841384e-07,7.57119275737032e-05,21933
"ENSMUSG00000095079","ENSMUSG00000095079","Igha",0.786480796589112,11.6857504668148,27.3330628983052,1.7125793048012e-07,8.20087628762994e-05,NA
"ENSMUSG00000021701","ENSMUSG00000021701","Plk2",-0.561131671817898,7.03058384637409,27.1102154924501,1.92179714618406e-07,8.95401648731543e-05,20620
