"gene1","module1"
"ENSMUSG00000090509","blue"
"ENSMUSG00000003541","blue"
"ENSMUSG00000073405","blue"
"ENSMUSG00000073400","blue"
"ENSMUSG00000036036","blue"
"ENSMUSG00000024462","blue"
"ENSMUSG00000056492","blue"
"ENSMUSG00000040260","blue"
"ENSMUSG00000024206","blue"
"ENSMUSG00000024066","blue"
"ENSMUSG00000045038","blue"
"ENSMUSG00000024140","blue"
"ENSMUSG00000005836","blue"
"ENSMUSG00000102697","blue"
"ENSMUSG00000024451","blue"
"ENSMUSG00000051375","blue"
"ENSMUSG00000024440","blue"
"ENSMUSG00000038791","blue"
"ENSMUSG00000071856","blue"
"ENSMUSG00000019647","blue"
"ENSMUSG00000052713","blue"
"ENSMUSG00000033032","blue"
"ENSMUSG00000045730","blue"
"ENSMUSG00000024517","blue"
"ENSMUSG00000024526","blue"
"ENSMUSG00000024511","blue"
"ENSMUSG00000053846","blue"
"ENSMUSG00000025880","blue"
"ENSMUSG00000024548","blue"
"ENSMUSG00000056214","blue"
"ENSMUSG00000040663","blue"
"ENSMUSG00000056917","blue"
"ENSMUSG00000092274","blue"
"ENSMUSG00000024772","blue"
"ENSMUSG00000024948","blue"
"ENSMUSG00000032946","blue"
"ENSMUSG00000033768","blue"
"ENSMUSG00000052188","blue"
"ENSMUSG00000069833","blue"
"ENSMUSG00000024653","blue"
"ENSMUSG00000039982","blue"
"ENSMUSG00000036192","blue"
"ENSMUSG00000024754","blue"
"ENSMUSG00000067297","blue"
"ENSMUSG00000067279","blue"
"ENSMUSG00000025006","blue"
"ENSMUSG00000025034","blue"
"ENSMUSG00000053617","blue"
"ENSMUSG00000025064","blue"
"ENSMUSG00000035283","blue"
"ENSMUSG00000042686","brown"
"ENSMUSG00000079588","brown"
"ENSMUSG00000047528","brown"
"ENSMUSG00000061816","brown"
"ENSMUSG00000050296","brown"
"ENSMUSG00000026208","brown"
"ENSMUSG00000059956","brown"
"ENSMUSG00000044594","brown"
"ENSMUSG00000073602","brown"
"ENSMUSG00000073601","brown"
"ENSMUSG00000026327","brown"
"ENSMUSG00000026450","brown"
"ENSMUSG00000026413","brown"
"ENSMUSG00000026407","brown"
"ENSMUSG00000007122","brown"
"ENSMUSG00000026489","brown"
"ENSMUSG00000044103","brown"
"ENSMUSG00000026983","brown"
"ENSMUSG00000036731","brown"
"ENSMUSG00000026950","brown"
"ENSMUSG00000027022","brown"
"ENSMUSG00000075307","brown"
"ENSMUSG00000051747","brown"
"ENSMUSG00000027077","brown"
"ENSMUSG00000075217","brown"
"ENSMUSG00000050808","brown"
"ENSMUSG00000027401","brown"
"ENSMUSG00000017697","brown"
"ENSMUSG00000040154","brown"
"ENSMUSG00000017300","brown"
"ENSMUSG00000016349","brown"
"ENSMUSG00000041476","brown"
"ENSMUSG00000043461","brown"
"ENSMUSG00000074489","brown"
"ENSMUSG00000043165","brown"
"ENSMUSG00000045539","brown"
"ENSMUSG00000057609","brown"
"ENSMUSG00000027923","brown"
"ENSMUSG00000068890","brown"
"ENSMUSG00000042092","brown"
"ENSMUSG00000103243","brown"
"ENSMUSG00000068889","brown"
"ENSMUSG00000042124","brown"
"ENSMUSG00000027919","brown"
"ENSMUSG00000049593","brown"
"ENSMUSG00000068888","brown"
"ENSMUSG00000095870","brown"
"ENSMUSG00000059832","brown"
"ENSMUSG00000090314","brown"
"ENSMUSG00000054325","brown"
"ENSMUSG00000042031","brown"
"ENSMUSG00000045475","brown"
"ENSMUSG00000074433","brown"
"ENSMUSG00000068885","brown"
"ENSMUSG00000027913","brown"
"ENSMUSG00000027912","brown"
"ENSMUSG00000102439","brown"
"ENSMUSG00000041991","brown"
"ENSMUSG00000041984","brown"
"ENSMUSG00000028148","brown"
"ENSMUSG00000038403","brown"
"ENSMUSG00000027868","brown"
"ENSMUSG00000027887","brown"
"ENSMUSG00000090066","brown"
"ENSMUSG00000055301","brown"
"ENSMUSG00000028464","brown"
"ENSMUSG00000032643","brown"
"ENSMUSG00000037188","brown"
"ENSMUSG00000037139","brown"
"ENSMUSG00000028749","brown"
"ENSMUSG00000006221","brown"
"ENSMUSG00000062077","brown"
"ENSMUSG00000043430","brown"
"ENSMUSG00000072845","brown"
"ENSMUSG00000072720","brown"
"ENSMUSG00000029361","brown"
"ENSMUSG00000029683","brown"
"ENSMUSG00000039070","brown"
"ENSMUSG00000076589","brown"
"ENSMUSG00000055027","brown"
"ENSMUSG00000033508","brown"
"ENSMUSG00000044086","brown"
"ENSMUSG00000030137","brown"
"ENSMUSG00000030433","brown"
"ENSMUSG00000030399","brown"
"ENSMUSG00000060621","brown"
"ENSMUSG00000030484","brown"
"ENSMUSG00000011632","brown"
"ENSMUSG00000057454","brown"
"ENSMUSG00000063651","brown"
"ENSMUSG00000047586","brown"
"ENSMUSG00000053522","brown"
"ENSMUSG00000030592","brown"
"ENSMUSG00000036854","brown"
"ENSMUSG00000046056","brown"
"ENSMUSG00000060962","brown"
"ENSMUSG00000074199","brown"
"ENSMUSG00000044737","brown"
"ENSMUSG00000030693","brown"
"ENSMUSG00000047884","brown"
"ENSMUSG00000038670","brown"
"ENSMUSG00000038763","brown"
"ENSMUSG00000030747","brown"
"ENSMUSG00000030730","brown"
"ENSMUSG00000030672","brown"
"ENSMUSG00000030785","brown"
"ENSMUSG00000031097","brown"
"ENSMUSG00000061723","brown"
"ENSMUSG00000000031","brown"
"ENSMUSG00000039891","brown"
"ENSMUSG00000019851","brown"
"ENSMUSG00000019787","brown"
"ENSMUSG00000020067","brown"
"ENSMUSG00000005355","brown"
"ENSMUSG00000020216","brown"
"ENSMUSG00000020061","brown"
"ENSMUSG00000036446","brown"
"ENSMUSG00000035923","brown"
"ENSMUSG00000031461","brown"
"ENSMUSG00000059230","brown"
"ENSMUSG00000031791","brown"
"ENSMUSG00000078144","brown"
"ENSMUSG00000074156","brown"
"ENSMUSG00000031757","brown"
"ENSMUSG00000062826","brown"
"ENSMUSG00000031972","brown"
"ENSMUSG00000068697","brown"
"ENSMUSG00000039376","brown"
"ENSMUSG00000045776","brown"
"ENSMUSG00000071540","brown"
"ENSMUSG00000043681","brown"
"ENSMUSG00000021798","brown"
"ENSMUSG00000096001","brown"
"ENSMUSG00000041737","brown"
"ENSMUSG00000032373","brown"
"ENSMUSG00000032262","brown"
"ENSMUSG00000035606","brown"
"ENSMUSG00000059741","brown"
"ENSMUSG00000061462","brown"
"ENSMUSG00000019102","brown"
"ENSMUSG00000033196","brown"
"ENSMUSG00000056328","brown"
"ENSMUSG00000057003","brown"
"ENSMUSG00000055775","brown"
"ENSMUSG00000032807","brown"
"ENSMUSG00000018566","brown"
"ENSMUSG00000060600","brown"
"ENSMUSG00000007877","brown"
"ENSMUSG00000017204","brown"
"ENSMUSG00000044041","brown"
"ENSMUSG00000054146","brown"
"ENSMUSG00000045545","brown"
"ENSMUSG00000020722","brown"
"ENSMUSG00000018862","brown"
"ENSMUSG00000033765","brown"
"ENSMUSG00000052374","brown"
"ENSMUSG00000044951","brown"
"ENSMUSG00000037989","brown"
"ENSMUSG00000021506","brown"
"ENSMUSG00000021565","brown"
"ENSMUSG00000047419","brown"
"ENSMUSG00000062563","brown"
"ENSMUSG00000035105","brown"
"ENSMUSG00000001497","brown"
"ENSMUSG00000021061","brown"
"ENSMUSG00000034634","brown"
"ENSMUSG00000018893","brown"
"ENSMUSG00000005716","brown"
"ENSMUSG00000033065","brown"
"ENSMUSG00000061527","brown"
"ENSMUSG00000059668","brown"
"ENSMUSG00000050463","brown"
"ENSMUSG00000022519","brown"
"ENSMUSG00000090356","brown"
"ENSMUSG00000034362","brown"
"ENSMUSG00000046748","brown"
"ENSMUSG00000062713","brown"
"ENSMUSG00000002500","brown"
"ENSMUSG00000092586","brown"
"ENSMUSG00000039518","brown"
"ENSMUSG00000039269","brown"
"ENSMUSG00000025431","brown"
"ENSMUSG00000040694","brown"
"ENSMUSG00000024049","brown"
"ENSMUSG00000059898","brown"
"ENSMUSG00000044322","brown"
"ENSMUSG00000069441","brown"
"ENSMUSG00000061928","brown"
"ENSMUSG00000056632","brown"
"ENSMUSG00000071858","brown"
"ENSMUSG00000055561","brown"
