"X","ID","Gene.name","logFC","logCPM","LR","PValue","entrezgene_id"
15257,"ENSMUSG00000022748","Cmss1",0.104627714265395,2.73778040670526,0.115307002793441,0.734181240928339,66497
15258,"ENSMUSG00000043336","Filip1l",0.0297835746539446,7.21868942168013,0.0358903118375338,0.849742188637452,78749
15259,"ENSMUSG00000068196","Col8a1",-0.157140165590849,4.34215685711073,0.5438671297834,0.460834466494982,12837
15260,"ENSMUSG00000035107","Dcbld2",-0.117416132989494,5.41953927377688,0.467367836027866,0.494200585765155,73379
15261,"ENSMUSG00000022747","St3gal6",-0.0693409300402773,5.97214024709268,0.173554603841808,0.676971848873543,54613
15262,"ENSMUSG00000022742","Cpox",-0.0810008815068934,5.42770242109211,0.221228300924625,0.638105604283603,12892
15263,"ENSMUSG00000022744","Cldnd1",0.0589610914656934,5.96159893802047,0.131978597730148,0.716389317770074,224250
15264,"ENSMUSG00000022724","Riox2",0.166309903089524,3.32554134719844,0.40024014022297,0.526965264528884,67014
15265,"ENSMUSG00000022723","Crybg3",-0.0747186875490953,6.21426396441259,0.219718146274542,0.639254760716356,224273
15266,"ENSMUSG00000091562","Crybg3",-0.200865488446992,4.47876113196406,1.09786508759364,0.294735106147515,224273
15267,"ENSMUSG00000022722","Arl6",-0.195216489602431,3.62942547531873,0.678221086095487,0.410199960524287,56297
15268,"ENSMUSG00000085783","Gm9816",-0.22282234883154,-0.777964365552452,0.140914638903997,0.707373425300685,NA
15269,"ENSMUSG00000050312","Nsun3",0.0547982755826958,3.3351324395265,0.0394430368238088,0.842573532771337,106338
15270,"ENSMUSG00000022911","Arl13b",-0.0683083293296995,5.00982494652897,0.132856162898942,0.715488859625091,68146
15271,"ENSMUSG00000047854","Stx19",-0.240191550558807,2.67555920675797,0.609410592192427,0.435009818928771,68159
15272,"ENSMUSG00000022912","Pros1",-0.0661913392531201,7.60305971358823,0.179882869030043,0.671473920362341,19128
15273,"ENSMUSG00000052504","Epha3",0.0936315698609859,3.34960642152318,0.115992443342267,0.733422322572544,13837
15274,"ENSMUSG00000059920","4930453N24Rik",0.0246505037768366,5.18489984435089,0.0190802139792347,0.890136769379919,67609
15275,"ENSMUSG00000047141","Zfp654",-0.152351199428934,5.03724961632895,0.718682481544551,0.396576419400738,72020
15276,"ENSMUSG00000054604","Cggbp1",-0.150899837289853,7.38816141855684,0.827612128870334,0.36296391685099,106143
15277,"ENSMUSG00000004843","Chmp2b",0.0647024429034171,6.22984376151588,0.162890229478167,0.686509373598139,68942
15278,"ENSMUSG00000091243","Vgll3",-0.0396583773673815,5.16465073848375,0.048305518646117,0.826038473960657,73569
15279,"ENSMUSG00000064115","Cadm2",-0.318143589345319,1.83935391840222,0.780299626507843,0.377049519021103,239857
15280,"ENSMUSG00000022707","Gbe1",-0.0689436918217966,4.66130514792722,0.137034806016068,0.711246793897669,74185
15281,"ENSMUSG00000022883","Robo1",0.151173115904657,4.22116053971118,0.548739653589691,0.458833128718082,19876
15282,"ENSMUSG00000052516","Robo2",-0.0249920176533036,5.73347739464126,0.0183766148813738,0.89216883350974,268902
15283,"ENSMUSG00000032932","Hspa13",-0.0998729200792006,6.32447386660317,0.368737059066629,0.543693485181095,110920
15284,"ENSMUSG00000022876","Samsn1",0.219144916932532,3.17417073484258,0.622512539490368,0.43011514020271,67742
