"Gene_ID","Gene_Name","Count"
"ENSMUSG00000026255","Efhd1",307
"ENSMUSG00000048000","Gigyf2",2679
"ENSMUSG00000079436","Kcnj13",284
"ENSMUSG00000026259","Ngef",463
"ENSMUSG00000079434","Neu2",46
"ENSMUSG00000026288","Inpp5d",2517
"ENSMUSG00000026289","Atg16l1",1464
"ENSMUSG00000070738","Dgkd",3781
"ENSMUSG00000005501","Usp40",830
"ENSMUSG00000090124","Ugt1a7c",209
"ENSMUSG00000090145","Ugt1a6b",162
"ENSMUSG00000054545","Ugt1a6a",56
"ENSMUSG00000081984","Dnajb3",32
"ENSMUSG00000079429","Mroh2a",205
"ENSMUSG00000044783","Hjurp",2337
"ENSMUSG00000099553","Gm29538",92
"ENSMUSG00000049866","Arl4c",3943
"ENSMUSG00000036206","Sh3bp4",2693
"ENSMUSG00000055013","Agap1",4182
"ENSMUSG00000026301","Iqca",529
"ENSMUSG00000044337","Ackr3",1924
"ENSMUSG00000034432","Cops8",1720
"ENSMUSG00000048126","Col6a3",5270
"ENSMUSG00000026303","Mlph",1002
"ENSMUSG00000026304","Rab17",59
"ENSMUSG00000026305","Lrrfip1",7628
"ENSMUSG00000034353","Ramp1",724
"ENSMUSG00000034343","Ube2f",1209
"ENSMUSG00000083064","Gm7785",12
"ENSMUSG00000026307","Scly",872
"ENSMUSG00000026308","Klhl30",53
"ENSMUSG00000047443","Erfe",13
"ENSMUSG00000026309","Ilkap",1471
"ENSMUSG00000100253","1700020N18Rik",47
"ENSMUSG00000067071","Hes6",1060
"ENSMUSG00000055866","Per2",3688
"ENSMUSG00000034292","Traf3ip1",2182
"ENSMUSG00000026311","Asb1",1517
"ENSMUSG00000007805","Twist2",20
"ENSMUSG00000026313","Hdac4",1380
"ENSMUSG00000026260","Ndufa10",1990
"ENSMUSG00000073616","Cops9",960
"ENSMUSG00000034220","Gpc1",1383
"ENSMUSG00000034212","Ankmy1",117
"ENSMUSG00000047067","Dusp28",296
"ENSMUSG00000097251","5033417F24Rik",45
"ENSMUSG00000026269","Rnpepl1",4371
"ENSMUSG00000026270","Capn10",526
"ENSMUSG00000026271","Gpr35",241
"ENSMUSG00000014602","Kif1a",814
"ENSMUSG00000034159","2310007B03Rik",1912
"ENSMUSG00000084989","Crocc2",354
"ENSMUSG00000047793","Sned1",1876
"ENSMUSG00000026273","Mterf4",375
"ENSMUSG00000026274","Pask",136
"ENSMUSG00000026275","Ppp1r7",1925
"ENSMUSG00000034088","Hdlbp",11447
"ENSMUSG00000026276","2-Sep",9936
"ENSMUSG00000034066","Farp2",527
"ENSMUSG00000026277","Stk25",3806
"ENSMUSG00000100927","Gm28536",21
"ENSMUSG00000026278","Bok",443
"ENSMUSG00000026279","Thap4",492
"ENSMUSG00000026280","Atg4b",1794
"ENSMUSG00000026281","Dtymk",659
"ENSMUSG00000026283","Ing5",1362
"ENSMUSG00000073609","D2hgdh",224
"ENSMUSG00000093805","Gal3st2b",15
"ENSMUSG00000026285","Pdcd1",78
"ENSMUSG00000100347","Gm7895",8
"ENSMUSG00000051185","Fam174a",1545
"ENSMUSG00000103973","BC055308",23
"ENSMUSG00000081051","Gm15427",106
"ENSMUSG00000040710","St8sia4",2414
"ENSMUSG00000040693","Slco4c1",2003
"ENSMUSG00000097814","Panct2",208
"ENSMUSG00000044768","D1Ertd622e",1127
"ENSMUSG00000040648","Ppip5k2",1493
"ENSMUSG00000026333","Gin1",232
"ENSMUSG00000026335","Pam",15070
"ENSMUSG00000089782","Gm3531",66
"ENSMUSG00000089706","B230216N24Rik",23
"ENSMUSG00000089791","Gm3555",22
"ENSMUSG00000100009","Gm7967",15
"ENSMUSG00000082431","Tdpx-ps1",11
"ENSMUSG00000047496","Rnf152",151
"ENSMUSG00000067017","Gm3608",685
"ENSMUSG00000056536","Pign",1327
"ENSMUSG00000026319","2310035C23Rik",1521
"ENSMUSG00000026321","Tnfrsf11a",309
"ENSMUSG00000099843","Gm7160",82
"ENSMUSG00000038866","Zcchc2",1499
"ENSMUSG00000101583","Gm20753",19
"ENSMUSG00000044340","Phlpp1",2743
"ENSMUSG00000057329","Bcl2",1607
"ENSMUSG00000009905","Kdsr",1920
"ENSMUSG00000009907","Vps4b",3912
"ENSMUSG00000067006","Serpinb5",9
"ENSMUSG00000059956","Serpinb12",7
"ENSMUSG00000044594","Serpinb3a",0
"ENSMUSG00000073601","Serpinb3c",0
"ENSMUSG00000092572","Serpinb10",72
"ENSMUSG00000026315","Serpinb8",379
"ENSMUSG00000047216","Cdh19",97
"ENSMUSG00000038702","Dsel",600
"ENSMUSG00000026374","Tsn",2632
"ENSMUSG00000026377","Nifk",813
"ENSMUSG00000064302","Clasp1",2464
"ENSMUSG00000026380","Tfcp2l1",1360
"ENSMUSG00000048402","Gli2",168
"ENSMUSG00000037035","Inhbb",2910
"ENSMUSG00000004451","Ralb",2737
"ENSMUSG00000098923","Tmem185b",712
"ENSMUSG00000026383","Epb41l5",3449
"ENSMUSG00000026384","Ptpn4",2281
"ENSMUSG00000036975","Tmem177",212
"ENSMUSG00000036962","Cfap221",118
"ENSMUSG00000050777","Tmem37",971
"ENSMUSG00000026385","Dbi",2199
"ENSMUSG00000026388","3110009E18Rik",82
"ENSMUSG00000026389","Steap3",2845
"ENSMUSG00000026390","Marco",1095
"ENSMUSG00000003721","Insig2",1474
"ENSMUSG00000104253","Gm37174",19
"ENSMUSG00000026339","Ccdc93",1499
"ENSMUSG00000001674","Ddx18",1021
"ENSMUSG00000026341","Actr3",7859
"ENSMUSG00000026342","Slc35f5",1473
"ENSMUSG00000026343","Gpr39",175
"ENSMUSG00000026344","Lypd1",16
"ENSMUSG00000049690","Nckap5",6025
"ENSMUSG00000104519","Gm37161",45
"ENSMUSG00000036155","Mgat5",2142
"ENSMUSG00000099471","Gm8451",15
"ENSMUSG00000026347","Tmem163",531
"ENSMUSG00000026348","Acmsd",29
"ENSMUSG00000026349","Ccnt2",2875
"ENSMUSG00000051590","Map3k19",312
"ENSMUSG00000036104","Rab3gap1",2332
"ENSMUSG00000036086","Zranb3",194
"ENSMUSG00000099760","Gm28800",7
"ENSMUSG00000104164","Gm38248",20
"ENSMUSG00000058603","Rpl28-ps1",38
"ENSMUSG00000056211","R3hdm1",1571
"ENSMUSG00000026353","Ubxn4",3996
"ENSMUSG00000026355","Mcm6",1092
"ENSMUSG00000026356","Dars",2082
"ENSMUSG00000100078","Gm6170",24
"ENSMUSG00000045382","Cxcr4",2812
"ENSMUSG00000042581","Thsd7b",7
"ENSMUSG00000026401","Cd55b",19
"ENSMUSG00000087691","Gm15674",156
"ENSMUSG00000086825","Gm15675",333
"ENSMUSG00000026399","Cd55",2416
"ENSMUSG00000085526","Gm16083",15
"ENSMUSG00000026405","C4bp",7
"ENSMUSG00000026409","Pfkfb2",1533
"ENSMUSG00000046404","Yod1",921
"ENSMUSG00000042510","AA986860",4096
"ENSMUSG00000099556","Gm28857",33
"ENSMUSG00000100106","Gm28856",23
"ENSMUSG00000026415","Fcamr",115
"ENSMUSG00000086706","Gm15848",68
"ENSMUSG00000026417","Pigr",7185
"ENSMUSG00000042474","Fcmr",571
"ENSMUSG00000016528","Mapkapk2",6508
"ENSMUSG00000016526","Dyrk3",302
"ENSMUSG00000026427","Eif2d",1132
"ENSMUSG00000026430","Rassf5",1341
"ENSMUSG00000042349","Ikbke",427
"ENSMUSG00000026425","Srgap2",3521
"ENSMUSG00000055184","Fam72a",79
"ENSMUSG00000004552","Ctse",174
"ENSMUSG00000052688","Rab7b",543
"ENSMUSG00000042268","Slc26a9",1443
"ENSMUSG00000042251","Pm20d1",163
"ENSMUSG00000013275","Slc41a1",1799
"ENSMUSG00000026433","Rab29",464
"ENSMUSG00000026434","Nucks1",2777
"ENSMUSG00000026435","Slc45a3",498
"ENSMUSG00000026436","Elk4",3209
"ENSMUSG00000059149","Mfsd4a",1538
"ENSMUSG00000103966","Gm37120",22
"ENSMUSG00000026437","Cdk18",1051
"ENSMUSG00000079330","Lemd1",11
"ENSMUSG00000042115","Klhdc8a",454
"ENSMUSG00000009772","Nuak2",708
"ENSMUSG00000100658","F730311O21Rik",75
"ENSMUSG00000042066","Tmcc2",8659
"ENSMUSG00000042046","Dstyk",2223
"ENSMUSG00000026439","Rbbp5",1357
"ENSMUSG00000048174","Tmem81",215
"ENSMUSG00000053024","Cntn2",12
"ENSMUSG00000026442","Nfasc",32
"ENSMUSG00000026443","Lrrn2",135
"ENSMUSG00000054387","Mdm4",3661
"ENSMUSG00000026447","Pik3c2b",1001
"ENSMUSG00000102425","Gm26616",34
"ENSMUSG00000046062","Ppp1r15b",4149
"ENSMUSG00000041757","Plekha6",2608
"ENSMUSG00000101693","Gm19461",134
"ENSMUSG00000070644","Etnk2",9
"ENSMUSG00000070643","Sox13",3218
"ENSMUSG00000090553","Snrpe",691
"ENSMUSG00000102976","Zc3h11a",888
"ENSMUSG00000094410","Gm38394",501
"ENSMUSG00000051998","Lax1",366
"ENSMUSG00000026463","Atp2b4",3200
"ENSMUSG00000010311","Optc",40
"ENSMUSG00000090208","Gm15851",18
"ENSMUSG00000041577","Prelp",13549
"ENSMUSG00000041559","Fmod",589
"ENSMUSG00000020423","Btg2",8025
"ENSMUSG00000064246","Chil1",25066
"ENSMUSG00000042429","Adora1",415
"ENSMUSG00000026458","Ppfia4",98
"ENSMUSG00000042305","Tmem183a",1732
"ENSMUSG00000026456","Cyb5r1",1190
"ENSMUSG00000026457","Adipor1",6746
"ENSMUSG00000026455","Klhl12",681
"ENSMUSG00000042229","Rabif",893
"ENSMUSG00000042207","Kdm5b",2019
"ENSMUSG00000026452","Syt2",38
"ENSMUSG00000073557","Ppp1r12b",4654
"ENSMUSG00000026429","Ube2t",34
"ENSMUSG00000042793","Lgr6",349
"ENSMUSG00000097993","Ptprv",190
"ENSMUSG00000031506","Ptpn7",381
"ENSMUSG00000026426","Arl8a",2894
"ENSMUSG00000026424","Gpr37l1",16
