"gene1","module1","EntrezID"
"ENSMUSG00000028369","turquoise","64817"
"ENSMUSG00000039196","turquoise","18405"
"ENSMUSG00000045917","turquoise","230279"
"ENSMUSG00000028364","turquoise","21923"
"ENSMUSG00000028373","turquoise","56079"
"ENSMUSG00000028351","turquoise","56710"
"ENSMUSG00000028399","turquoise","19266"
"ENSMUSG00000059049","turquoise","329872"
"ENSMUSG00000028494","turquoise","11520"
"ENSMUSG00000028497","turquoise","66775"
"ENSMUSG00000044303","turquoise","12578"
"ENSMUSG00000028600","turquoise","242608"
"ENSMUSG00000028698","turquoise","18710"
"ENSMUSG00000028691","turquoise","18477"
"ENSMUSG00000006390","turquoise","54325"
"ENSMUSG00000028633","turquoise","51797"
"ENSMUSG00000028655","turquoise","76574"
"ENSMUSG00000047945","turquoise","17357"
"ENSMUSG00000050493","turquoise","230766"
"ENSMUSG00000025743","turquoise","20970"
"ENSMUSG00000028581","turquoise","16792"
"ENSMUSG00000028893","turquoise","230784"
"ENSMUSG00000056529","turquoise","19204"
"ENSMUSG00000000682","turquoise","23833"
"ENSMUSG00000028673","turquoise","71665"
"ENSMUSG00000036905","turquoise","12260"
"ENSMUSG00000036896","turquoise","12262"
"ENSMUSG00000036887","turquoise","12259"
"ENSMUSG00000028763","turquoise","15530"
"ENSMUSG00000028766","turquoise","11647"
"ENSMUSG00000041202","turquoise","18782"
"ENSMUSG00000041193","turquoise","18784"
"ENSMUSG00000006219","turquoise","74202"
"ENSMUSG00000028583","turquoise","14726"
"ENSMUSG00000028599","turquoise","21938"
"ENSMUSG00000028989","turquoise","654812"
"ENSMUSG00000028996","turquoise","63954"
"ENSMUSG00000039911","turquoise","74646"
"ENSMUSG00000028965","turquoise","21942"
"ENSMUSG00000028957","turquoise","18628"
"ENSMUSG00000042116","turquoise","246228"
"ENSMUSG00000001467","turquoise","13121"
"ENSMUSG00000012428","turquoise","117167"
"ENSMUSG00000040584","turquoise","18671"
"ENSMUSG00000028970","turquoise","18669"
"ENSMUSG00000073208","turquoise","100502967"
"ENSMUSG00000044968","turquoise","242864"
"ENSMUSG00000028978","turquoise","18127"
"ENSMUSG00000025746","turquoise","16193"
"ENSMUSG00000029135","turquoise","14284"
"ENSMUSG00000011034","turquoise","20537"
"ENSMUSG00000054520","turquoise","24055"
"ENSMUSG00000029103","turquoise","16976"
"ENSMUSG00000036596","turquoise","242939"
"ENSMUSG00000029093","turquoise","81840"
"ENSMUSG00000029119","turquoise","17160"
"ENSMUSG00000029086","turquoise","19126"
"ENSMUSG00000029092","turquoise","52401"
"ENSMUSG00000031558","turquoise","20563"
"ENSMUSG00000072941","turquoise","20657"
"ENSMUSG00000039252","turquoise","246316"
"ENSMUSG00000029189","turquoise","231238"
"ENSMUSG00000029108","turquoise","54216"
"ENSMUSG00000029174","turquoise","57915"
"ENSMUSG00000036377","turquoise","320827"
"ENSMUSG00000036256","turquoise","29817"
"ENSMUSG00000067149","turquoise","16069"
"ENSMUSG00000029373","turquoise","56744"
"ENSMUSG00000029417","turquoise","17329"
"ENSMUSG00000034855","turquoise","15945"
"ENSMUSG00000023078","turquoise","55985"
"ENSMUSG00000035273","turquoise","15442"
"ENSMUSG00000029307","turquoise","13406"
"ENSMUSG00000029306","turquoise","15891"
"ENSMUSG00000029304","turquoise","20750"
"ENSMUSG00000054720","turquoise","100604"
"ENSMUSG00000014158","turquoise","63873"
"ENSMUSG00000029561","turquoise","23962"
"ENSMUSG00000029602","turquoise","19415"
"ENSMUSG00000032690","turquoise","246728"
"ENSMUSG00000032661","turquoise","246727"
"ENSMUSG00000052776","turquoise","246730"
"ENSMUSG00000029608","turquoise","19894"
"ENSMUSG00000064267","turquoise","74096"
"ENSMUSG00000029401","turquoise","80291"
"ENSMUSG00000034324","turquoise","208213"
"ENSMUSG00000044017","turquoise","243277"
"ENSMUSG00000025534","turquoise","110006"
"ENSMUSG00000015950","turquoise","17969"
"ENSMUSG00000040751","turquoise","56743"
"ENSMUSG00000037411","turquoise","18787"
"ENSMUSG00000047592","turquoise","381680"
"ENSMUSG00000025854","turquoise","80752"
"ENSMUSG00000029581","turquoise","14086"
"ENSMUSG00000052271","turquoise","17341"
"ENSMUSG00000029622","turquoise","11867"
"ENSMUSG00000060063","turquoise","11690"
"ENSMUSG00000029661","turquoise","12843"
"ENSMUSG00000068794","turquoise","213945"
"ENSMUSG00000042717","turquoise","140491"
"ENSMUSG00000068748","turquoise","19283"
"ENSMUSG00000051855","turquoise","17294"
"ENSMUSG00000029763","turquoise","20336"
"ENSMUSG00000029762","turquoise","14187"
"ENSMUSG00000029925","turquoise","21391"
"ENSMUSG00000029915","turquoise","23845"
"ENSMUSG00000029810","turquoise","65963"
"ENSMUSG00000023367","turquoise","66058"
"ENSMUSG00000108084","turquoise","666105"
"ENSMUSG00000029811","turquoise","76507"
"ENSMUSG00000029816","turquoise","93695"
"ENSMUSG00000029819","turquoise","109648"
"ENSMUSG00000038301","turquoise","71982"
"ENSMUSG00000053007","turquoise","231991"
"ENSMUSG00000086040","turquoise","330319"
"ENSMUSG00000019124","turquoise","69938"
"ENSMUSG00000029802","turquoise","26357"
"ENSMUSG00000029919","turquoise","54486"
"ENSMUSG00000049001","turquoise","68169"
"ENSMUSG00000076501","turquoise","692187"
"ENSMUSG00000096336","turquoise","243420"
"ENSMUSG00000094491","turquoise","628027"
"ENSMUSG00000096461","turquoise","628072"
"ENSMUSG00000093906","turquoise","692182"
"ENSMUSG00000076508","turquoise","243433"
"ENSMUSG00000094345","turquoise","628127"
"ENSMUSG00000096632","turquoise","243431"
"ENSMUSG00000076512","turquoise","628144"
"ENSMUSG00000095497","turquoise","434024"
"ENSMUSG00000076514","turquoise","667435"
"ENSMUSG00000094872","turquoise","434025"
"ENSMUSG00000094335","turquoise","16098"
"ENSMUSG00000076518","turquoise","381776"
"ENSMUSG00000095771","turquoise","545847"
"ENSMUSG00000093861","turquoise","381777"
"ENSMUSG00000105606","turquoise","628268"
"ENSMUSG00000076522","turquoise","381778"
"ENSMUSG00000076523","turquoise","692169"
"ENSMUSG00000096515","turquoise","243439"
"ENSMUSG00000076525","turquoise","434028"
"ENSMUSG00000076526","turquoise","435900"
"ENSMUSG00000094420","turquoise","692165"
"ENSMUSG00000096490","turquoise","667550"
"ENSMUSG00000098814","turquoise","692161"
"ENSMUSG00000076532","turquoise","434033"
"ENSMUSG00000076534","turquoise","384411"
"ENSMUSG00000076535","turquoise","692154"
"ENSMUSG00000076536","turquoise","243451"
"ENSMUSG00000079543","turquoise","434036"
"ENSMUSG00000076538","turquoise","692152"
"ENSMUSG00000076540","turquoise","545848"
"ENSMUSG00000076541","turquoise","213684"
"ENSMUSG00000076543","turquoise","236047"
"ENSMUSG00000076545","turquoise","385109"
"ENSMUSG00000076548","turquoise","628541"
"ENSMUSG00000076549","turquoise","384515"
"ENSMUSG00000076550","turquoise","628571"
"ENSMUSG00000094262","turquoise","636752"
"ENSMUSG00000076552","turquoise","546244"
"ENSMUSG00000094006","turquoise","667683"
"ENSMUSG00000095633","turquoise","381831"
"ENSMUSG00000076555","turquoise","384514"
