"Gene_ID","PC1_Loading","PC2_Loading","Gene_Name","PC1_Direction","PC2_Direction"
"ENSMUSG00000029397",0.00895152813714813,-0.00119012349444834,"Rchy1","Positive","Negative"
"ENSMUSG00000002129",0.00895133902825264,0.000431779908029819,"Sf3a1","Positive","Positive"
"ENSMUSG00000015714",0.00895108482444558,-0.000553470740103214,"Cers2","Positive","Negative"
"ENSMUSG00000028759",0.00895089011231639,-0.00225924092288843,"Hp1bp3","Positive","Negative"
"ENSMUSG00000041815",0.00895058616565478,6.60315170642751e-05,"Poldip3","Positive","Positive"
"ENSMUSG00000028792",0.00895033151262809,0.00100826189444221,"Ak2","Positive","Positive"
"ENSMUSG00000027303",0.00894969932046706,0.0021362905461505,"Ptpra","Positive","Positive"
"ENSMUSG00000029684",0.00894938903367339,-0.000226605837470864,"Wasl","Positive","Negative"
"ENSMUSG00000017485",0.00894929403012329,0.000429141040510657,"Top2b","Positive","Positive"
"ENSMUSG00000032737",0.00894904730190967,0.00094313990022061,"Inppl1","Positive","Positive"
"ENSMUSG00000004221",0.00894893793011268,0.000871414088548795,"Ikbkg","Positive","Positive"
"ENSMUSG00000022636",0.00894870192497435,0.0012933925270429,"Alcam","Positive","Positive"
"ENSMUSG00000061904",0.00894848877389526,0.00144145091465269,"Slc25a3","Positive","Positive"
"ENSMUSG00000016481",0.00894846377016783,-0.00118877881303814,"Cr1l","Positive","Negative"
"ENSMUSG00000022656",0.00894812616169381,-0.000793471461589783,"Nectin3","Positive","Negative"
"ENSMUSG00000035623",0.00894806686668604,-0.000606057306346787,"Rsf1","Positive","Negative"
"ENSMUSG00000034349",0.00894725434013081,-0.00192533745397741,"Smc4","Positive","Negative"
"ENSMUSG00000056537",0.0089471396513319,-0.000738083208026339,"Rlim","Positive","Negative"
"ENSMUSG00000032030",0.0089465174803222,0.00215027455780959,"Cul5","Positive","Positive"
"ENSMUSG00000006498",0.00894613953391052,-0.000399685828693537,"Ptbp1","Positive","Negative"
"ENSMUSG00000002320",0.00894605411289149,0.00225616893599336,"Tm9sf1","Positive","Positive"
"ENSMUSG00000039646",0.00894604332394678,0.00168532525379136,"Vasn","Positive","Positive"
"ENSMUSG00000037822",0.00894590977958648,-0.0009506928692718,"Smim14","Positive","Negative"
"ENSMUSG00000022702",0.00894589315561439,-0.0017853106239373,"Hira","Positive","Negative"
"ENSMUSG00000014907",0.00894575414967209,0.00107811387765794,"Naf1","Positive","Positive"
"ENSMUSG00000028868",0.00894555260065647,-0.00258315227205639,"Wasf2","Positive","Negative"
"ENSMUSG00000015087",0.00894527181716363,-0.0007746659117927,"Rabl6","Positive","Negative"
"ENSMUSG00000024474",0.00894519249400873,-0.0015749621862044,"Ik","Positive","Negative"
"ENSMUSG00000029250",0.0089451316430831,0.000779325968050522,"Polr2b","Positive","Positive"
"ENSMUSG00000031955",0.00894481759711038,0.00152233265927015,"Bcar1","Positive","Positive"
"ENSMUSG00000024527",0.00894459212384317,-0.000901549333343024,"Afg3l2","Positive","Negative"
"ENSMUSG00000026878",0.00894453620828581,0.00196738625311915,"Rab14","Positive","Positive"
"ENSMUSG00000020792",0.00894426954595552,-0.00156967421820073,"Exoc7","Positive","Negative"
"ENSMUSG00000053119",0.00894391604403712,0.00171556891008091,"Chmp3","Positive","Positive"
"ENSMUSG00000022142",0.00894373134768817,0.000189767751501619,"Nup155","Positive","Positive"
