"X","ID","Gene.name","logFC","logCPM","LR","PValue"
3525,"ENSMUSG00000105677","Gm43328",1.15561915432951,1.2546464231566,5.73233622238038,0.0166553111101939
3537,"ENSMUSG00000091575","2010016I18Rik",1.05656655581987,2.55043858648234,9.64178958009352,0.00190199836864164
3595,"ENSMUSG00000052769","Gm9889",2.19788331581527,-0.682484146735843,7.51408672149948,0.00612183166245752
3604,"ENSMUSG00000097737","Gm26530",1.17563189858556,0.145111502640381,4.97184984940004,0.0257630794736726
3711,"ENSMUSG00000037922","Bank1",1.02285888385795,3.10975785605982,7.45197775292564,0.00633667842832848
3726,"ENSMUSG00000089635","Gm16559",2.08068308852847,-0.93940630152281,6.18833965492,0.0128594782175391
3933,"ENSMUSG00000097123","Gm6297",1.16810232568943,0.260812500328241,4.4667821362093,0.0345600200998818
3954,"ENSMUSG00000087623","Gm12404",1.31450854430686,0.418781537640796,5.37412788952347,0.0204375559960012
4003,"ENSMUSG00000014030","Pax5",1.40537467205584,4.09522701149693,27.5582888980192,1.52430722580869e-07
4103,"ENSMUSG00000028359","Orm3",1.99858589156416,-0.203754352884364,6.35833039598122,0.0116831431101391
4341,"ENSMUSG00000043383","Olfr1342",1.02608161236583,1.01306621779043,4.62497370483466,0.0315097442819364
4377,"ENSMUSG00000046093","Hpcal4",1.76053078240658,3.54957411199728,46.0463442849028,1.15488445909059e-11
4412,"ENSMUSG00000086961","Gm12946",1.55315166552346,-1.0313425525102,4.24692179226565,0.0393215420583171
4577,"ENSMUSG00000037139","Myom3",1.27719511120347,2.5694040520747,5.74049241186044,0.0165781442183039
4613,"ENSMUSG00000045349","Sh2d5",1.559151314161,-0.184085792405737,5.56999529909044,0.0182708098139199
4866,"ENSMUSG00000105487","Gm43324",1.63036664708073,-0.765654012225162,4.56970219935392,0.0325422219975887
5111,"ENSMUSG00000051022","Hs3st1",1.18615573276906,4.62174800914702,37.9408126160044,7.29236666452643e-10
5161,"ENSMUSG00000090061","Nwd2",1.09442175653325,1.45138803597513,4.97726816825287,0.0256825071721273
5213,"ENSMUSG00000067219","Nipal1",1.09921933552703,3.54032372044499,4.64304962086711,0.0311795486716867
5280,"ENSMUSG00000029379","Cxcl3",2.55631744945774,0.181666321808576,5.98629190150156,0.01441747888704
5295,"ENSMUSG00000097479","Gm26582",1.49565697123383,-0.768522251708295,4.40855151405756,0.03575919252158
5511,"ENSMUSG00000029522","Pla2g1b",1.04387953864945,4.20214124277113,6.82241347345624,0.0090020833066394
5523,"ENSMUSG00000079278","Tmem233",1.38077742640551,1.32009233277835,12.987727813567,0.000313539222009966
5618,"ENSMUSG00000104156","Gm38102",1.17759512838774,2.02101669160262,7.77406017111358,0.00530017842521331
5619,"ENSMUSG00000105881","4932422M17Rik",1.07895076841049,3.04825180101456,7.51895387185217,0.00610531261851935
5715,"ENSMUSG00000107000","Gm43481",1.05879216470601,0.610042330820295,5.13923149653117,0.0233910004967527
5932,"ENSMUSG00000108207","1810059H22Rik",1.1004991260969,0.555071304559366,3.99872579935003,0.0455346752593243
5954,"ENSMUSG00000107017","Gm43196",1.6130136981467,0.983514044875855,5.97162607573156,0.014537868975034
6099,"ENSMUSG00000038600","Atp6v0a4",1.00869584875194,2.7604057982877,4.90175920075977,0.0268293506294635
6100,"ENSMUSG00000029829","Tmem213",1.91511756941065,1.20846594263032,6.23521025355378,0.0125234723761007
6129,"ENSMUSG00000076467","Trbv13-1",1.85794313102316,-0.882308801976642,6.2409250210884,0.0124831259913998
6183,"ENSMUSG00000108298","Gm44226",1.05327634531459,1.59988899572338,7.58092982112063,0.00589890044713121
6212,"ENSMUSG00000014704","Hoxa2",1.15584553267528,1.92106632500091,7.65515211822726,0.00566104178064154
6279,"ENSMUSG00000087231","E230016M11Rik",1.42124993164704,-0.13041133069713,5.03870711486592,0.0247869827331227
6332,"ENSMUSG00000094993","Igkv4-51",4.75722764159222,-2.37867606846212,5.67148083457959,0.0172428944156971
6381,"ENSMUSG00000053044","Cd8b1",1.06399252446507,1.88848404271303,8.04457600808774,0.0045640099516938
6383,"ENSMUSG00000053977","Cd8a",1.42170441059615,2.51123763810249,10.919711675365,0.000951464162903736
6412,"ENSMUSG00000102577","Gm37969",1.87113913941993,-0.578427097374976,7.77258670105912,0.00530450348670392
6463,"ENSMUSG00000063415","Cyp26b1",3.24329195146326,4.57620288483655,20.4893075829302,5.99652992470489e-06
6500,"ENSMUSG00000033508","Asprv1",5.77663871574991,3.5758433245718,4.59705143994863,0.0320269930343895
6713,"ENSMUSG00000094626","Cecr6",1.44037567982532,1.84589401601747,11.5032908122658,0.000694730829472034
6722,"ENSMUSG00000030137","Tuba8",1.00142154557252,3.77426763095634,4.66194734417803,0.0308381972179374
6819,"ENSMUSG00000097253","Gm26770",1.97059128212584,-0.643089699703154,7.61892411740063,0.00577589363118306
6842,"ENSMUSG00000030156","Cd69",1.11875036509045,2.44313903930387,12.5575464125397,0.000394609516434708
6844,"ENSMUSG00000030158","Clec12b",1.26220854188558,0.569940630245466,4.33882552151844,0.0372526124820373
