"Gene_ID","Gene.name","Count","entrezgene_id"
"ENSMUSG00000053161","Daw1",104,71227
"ENSMUSG00000026163","Sphkap",67,77629
"ENSMUSG00000045658","Pid1",1470,98496
"ENSMUSG00000036766","Dner",17,227325
"ENSMUSG00000026219","Trip12",8323,14897
"ENSMUSG00000073633","Fbxo36",340,66153
"ENSMUSG00000026220","Slc16a14",13,71781
"ENSMUSG00000052477","C130026I21Rik",165,NA
"ENSMUSG00000089844","A530032D15Rik",95,NA
"ENSMUSG00000072109","A530040E14Rik",57,621875
"ENSMUSG00000079457","Gm7609",26,665378
"ENSMUSG00000101751","Gm2427",34,NA
"ENSMUSG00000090186","Gm7592",30,101055758
"ENSMUSG00000070034","Sp110",956,109032
"ENSMUSG00000070031","Sp140",720,434484
"ENSMUSG00000090246","Gm17017",35,NA
"ENSMUSG00000026222","Sp100",3306,20684
"ENSMUSG00000052760","A630001G21Rik",276,319997
"ENSMUSG00000036707","Cab39",7070,12283
"ENSMUSG00000026223","Itm2c",6232,64294
"ENSMUSG00000049608","Gpr55",28,227326
"ENSMUSG00000026227","2810459M11Rik",49,72792
"ENSMUSG00000026229","Psmd1",4149,70247
"ENSMUSG00000026228","Htr2b",119,15559
"ENSMUSG00000094638","Gm21972",26,NA
"ENSMUSG00000062590","Armc9",346,78795
"ENSMUSG00000079445","B3gnt7",647,227327
"ENSMUSG00000026234","Ncl",11031,17975
"ENSMUSG00000073627","C130036L24Rik",47,NA
"ENSMUSG00000026237","Nmur1",15,14767
"ENSMUSG00000026238","Ptma",19596,19231
"ENSMUSG00000026239","Pde6d",728,18582
"ENSMUSG00000026240","Cops7b",590,26895
"ENSMUSG00000053333","Dis3l2",684,208718
"ENSMUSG00000084106","Gm6136",61,NA
"ENSMUSG00000026254","Eif4e2",2082,26987
"ENSMUSG00000026255","Efhd1",307,98363
"ENSMUSG00000048000","Gigyf2",2679,227331
"ENSMUSG00000079436","Kcnj13",284,100040591
"ENSMUSG00000026259","Ngef",463,53972
"ENSMUSG00000079434","Neu2",46,23956
"ENSMUSG00000026288","Inpp5d",2517,16331
"ENSMUSG00000026289","Atg16l1",1464,77040
"ENSMUSG00000070738","Dgkd",3781,227333
"ENSMUSG00000005501","Usp40",830,227334
"ENSMUSG00000090124","Ugt1a7c",209,394432
"ENSMUSG00000090145","Ugt1a6b",162,394435
"ENSMUSG00000054545","Ugt1a6a",56,94284
"ENSMUSG00000081984","Dnajb3",32,15504
"ENSMUSG00000079429","Mroh2a",205,100040766
"ENSMUSG00000044783","Hjurp",2337,212427
"ENSMUSG00000044783","Hjurp",2337,381280
"ENSMUSG00000099553","Gm29538",92,102636980
"ENSMUSG00000049866","Arl4c",3943,320982
