"gene","kMEblue","kMEbrown","kMEgreen","kMEgrey","kMEred","kMEturquoise","kMEyellow","Gene.name","EntrezID"
"ENSMUSG00000034751",-0.81336705239739,-0.335101078941547,-0.0822816005483237,-0.128481364924037,-0.226822739535342,0.830692515375581,-0.601542268955814,"Mast4","328329"
"ENSMUSG00000034854",-0.940481368752124,-0.240774210287822,-0.338916016711083,0.0758035171144148,-0.13439764695491,0.928502650105558,-0.361329844000302,"Mfsd12","73822"
"ENSMUSG00000034855",-0.81564923729218,-0.239566519928963,-0.0676739125044374,-0.242211375918273,-0.266197500817255,0.895612477809768,-0.567568463645567,"Cxcl10","15945"
"ENSMUSG00000034947",-0.921808477494253,-0.370173942811603,-0.243435545615304,0.0425488689542136,-0.245426196831887,0.900969298014235,-0.276322681970212,"Tmem106a","217203"
"ENSMUSG00000035273",-0.921849006748699,-0.295353251512388,-0.358250382614209,0.0915677699159283,-0.0149908331613716,0.933634622442114,-0.39891206202922,"Hpse","15442"
"ENSMUSG00000035357",-0.796201098236507,-0.462410502980422,0.0636795453939481,-0.339577514375676,-0.383363089608255,0.874338517925815,-0.597641686989453,"Pdzrn3","55983"
"ENSMUSG00000035385",-0.782875303390097,-0.186334814325977,0.0877881151959222,-0.392113294127086,-0.337702060453663,0.861594162885077,-0.764066867351782,"Ccl2","20296"
"ENSMUSG00000036086",-0.960282380846762,-0.190384628365569,-0.230985113923311,-0.0449240440262035,-0.222058561171529,0.961234483636407,-0.468321328563624,"Zranb3","226409"
"ENSMUSG00000036103",-0.791991786129853,-0.026024980945365,-0.03835576507506,-0.313220809725977,-0.216657929159796,0.863265612857826,-0.741334654799133,"Colec12","140792"
"ENSMUSG00000036181",-0.915357329074695,-0.295516238365553,-0.199210122841032,-0.0769682233153308,-0.268554593751256,0.922534428617293,-0.474518107818309,"Hist1h1c",NA
"ENSMUSG00000036256",-0.905837599635474,-0.326587890941985,0.00163855664649967,-0.315197768737454,-0.433909114925947,0.948657599283646,-0.529625286240154,"Igfbp7","29817"
"ENSMUSG00000036330",-0.961464889567942,-0.157093731477971,-0.321633480674787,0.0429846187393813,-0.109108764554065,0.960586977656562,-0.522830441358544,"Slc18a1","110877"
"ENSMUSG00000036381",-0.8606935539376,-0.282647303163947,-0.0384273974030362,-0.196546176745027,-0.436758577082271,0.885427700824536,-0.346587412506705,"P2ry14","140795"
"ENSMUSG00000036502",-0.89803403790167,-0.224459096602932,-0.235962676739336,-0.0377002428071651,-0.210268931556664,0.897438206336613,-0.526037947915876,"Tmem255a","245386"
"ENSMUSG00000036545",-0.919353004647511,-0.268448527726131,-0.0919562525372016,-0.198685726291903,-0.313277121765901,0.955274901616777,-0.573130458417622,"Adamts2","216725"
"ENSMUSG00000036596",-0.87096301373576,-0.254307285663124,-0.0985795227230051,-0.218102002248193,-0.24503480943076,0.941795357467703,-0.715151754490555,"Cpz","242939"
"ENSMUSG00000036814",-0.920489755681945,-0.166590528176443,-0.506897228272253,0.307102234054355,0.0592538007476966,0.862670099466308,-0.267243266279978,"Slc6a20a","102680"
"ENSMUSG00000036833",-0.898900435392982,-0.0849921970542176,-0.591276319962428,0.32004005221686,0.10628148526046,0.85818297184485,-0.314063580482108,"Pnpla7","241274"
"ENSMUSG00000036887",-0.909716862919595,-0.219782023285489,-0.0612195054350155,-0.278916044083992,-0.321089586647897,0.96366326420221,-0.632275960028274,"C1qa","12259"
"ENSMUSG00000036896",-0.909144481454916,-0.281489635679426,-0.0620191175675053,-0.266141311707493,-0.343280642275648,0.964887904963902,-0.607602492901822,"C1qc","12262"
"ENSMUSG00000036905",-0.914681181221093,-0.217702552470039,-0.053198081208174,-0.273440034437298,-0.330029273854233,0.968618597604541,-0.655644438863101,"C1qb","12260"
"ENSMUSG00000036908",-0.940858367011394,-0.220963297296042,-0.41262831211409,0.146803259604603,0.00879738252963139,0.94675320024446,-0.518570299165531,"Unc93b1","54445"
"ENSMUSG00000037280",-0.930217066263014,-0.0922926303022879,-0.56497342728839,0.258818816034877,0.1304160268781,0.907251722384937,-0.415324350767425,"Galnt6","207839"
"ENSMUSG00000037370",-0.942365946025152,-0.0857327928854242,-0.298192881307053,0.0102251376166385,-0.0850270755671582,0.952818261190538,-0.526615550060684,"Enpp1","18605"
"ENSMUSG00000037411",-0.959287951488309,-0.210828051063274,-0.275184830196437,-0.00398006060952635,-0.224790769617729,0.930403925029071,-0.403787043062617,"Serpine1","18787"
"ENSMUSG00000037613",-0.887436977993359,-0.383226957467716,-0.243498660694754,0.0376930814209159,-0.28833007727088,0.850105262895014,-0.101934754636822,"Tnfrsf23","79201"
"ENSMUSG00000037855",-0.908006357354105,-0.0373589357853035,-0.240057864637462,-0.113074491518103,-0.106744386492148,0.928228037675164,-0.708441689456518,"Zfp365","216049"
"ENSMUSG00000037868",-0.861602502153373,-0.250497703686763,-0.560079164725423,0.389388428279508,0.133644759076813,0.807006510821358,-0.268660778277285,"Egr2","13654"
"ENSMUSG00000037872",-0.925076841411218,-0.0663031618838581,-0.448709940082802,0.128044258107009,0.023329733358795,0.926759696344633,-0.594212815171753,"Ackr1","13349"
"ENSMUSG00000037902",-0.973959171462722,-0.193444215392271,-0.369915948307333,0.0812466814049803,-0.095920067667705,0.956317047727585,-0.414149409047731,"Sirpa","19261"
"ENSMUSG00000037953",-0.911260057021514,-0.145385207842899,-0.136784834708997,-0.162921889436611,-0.212581229998673,0.938837461153093,-0.583758559886809,"A4gnt","333424"
"ENSMUSG00000038147",-0.943627795191295,-0.148058783229766,-0.441328619203905,0.136159942819886,-0.0161790350483666,0.931126214959386,-0.4496503630838,"Cd84","12523"
"ENSMUSG00000038173",-0.949090335563583,-0.259550689626019,-0.17877777536702,-0.126327403594613,-0.294641188160048,0.962331041735895,-0.556125915645881,"Enpp6","320981"
"ENSMUSG00000038179",-0.898659681917675,-0.139523166999032,-0.35295771885854,0.0444094717242099,0.0323531201487677,0.934236646329941,-0.655940462781181,"Slamf7","75345"
"ENSMUSG00000038301",-0.94019603859441,-0.219969032931766,-0.300239886515177,0.00160053985761665,-0.167976640580165,0.931849127579142,-0.401896833752757,"Snx10","71982"
"ENSMUSG00000038370",-0.785455814691423,-0.228068181253372,-5.26156572671771e-05,-0.355644596760303,-0.351945000214992,0.847333428892485,-0.62801551108865,"Pcp4l1","66425"
"ENSMUSG00000038508",-0.820072042700983,-0.272953293420059,0.106990599397411,-0.394720744552183,-0.460220797523955,0.85124623804865,-0.465584506429894,"Gdf15","23886"
"ENSMUSG00000038521",-0.717627104936325,-0.029832120772287,-0.00809970658492135,-0.354340234487201,-0.177801420394434,0.811887163467388,-0.826810561116408,"C1s1","50908"
"ENSMUSG00000038527",-0.939738658125729,-0.18397431177032,-0.371804326845434,0.0965489964669683,-0.151495304006854,0.891461698070507,-0.287673386193384,"C1rl","232371"
"ENSMUSG00000038642",-0.948982171154291,-0.169729261702378,-0.210849399951729,-0.0613310303122356,-0.281283841353832,0.9389699933583,-0.364119485214837,"Ctss","13040"
"ENSMUSG00000038776",-0.864316028531347,0.0417407385201268,-0.37711588693516,0.0279340363781202,0.0484865656462333,0.859293920392205,-0.594133161362297,"Ephx1","13849"
"ENSMUSG00000039031",-0.896563099248213,0.0232132739761729,-0.407582752330385,0.0794506254243981,0.0318778036235883,0.888709475627743,-0.451425829626076,"Arhgap18","73910"
"ENSMUSG00000039062",-0.920168580495519,-0.275282143047745,-0.316452297687228,0.0748417518978292,-0.166829458526605,0.914923005773132,-0.322938530966942,"Anpep","16790"
"ENSMUSG00000039126",-0.90847801084133,-0.0955428639266855,-0.209182696004405,-0.0414708712741468,-0.194430624476563,0.907604774804961,-0.534434573181955,"Prune2","353211"
"ENSMUSG00000039145",-0.798680307431041,0.0679912725194681,-0.439924351231003,0.136546944310891,0.20196349374532,0.81425676206601,-0.75501456958147,"Camk1d","227541"
"ENSMUSG00000039146",-0.895273854159292,-0.244527994230922,-0.35950539280375,0.0709494964872147,-0.0610388472462919,0.912067753422833,-0.552232192193757,"Ifi44l","15061"
"ENSMUSG00000039168",-0.81514824761549,-0.395026897441264,-0.11393752928391,-0.125427319134897,-0.37460601947303,0.82233551084946,-0.14524649327014,"Dap","223453"
"ENSMUSG00000039196",-0.908434207242917,-0.314321424127429,-0.163245624597215,-0.0840749185474859,-0.29148939574452,0.921950070312366,-0.28657146637308,"Orm1","18405"
"ENSMUSG00000039252",-0.915190382772991,-0.251519104053817,-0.141196006324497,-0.120939300758953,-0.241261083883533,0.923953588097527,-0.582892151968287,"Lgi2","246316"
"ENSMUSG00000039316",-0.909319455237891,-0.371684219603889,-0.298465514844199,0.0520106160020197,-0.138379098813265,0.921052321449318,-0.376906092590527,"Rftn1","76438"
"ENSMUSG00000039323",-0.858767166112291,-0.428384649368528,-0.0646273323312628,-0.203731555249473,-0.395201042898412,0.880474135642423,-0.303845908044147,"Igfbp2","16008"
"ENSMUSG00000039395",-0.774997285847735,-0.00657410588937868,0.0485185869993194,-0.290680594123416,-0.388683772983182,0.800617993685784,-0.543198692739347,"Mreg","381269"
"ENSMUSG00000039519",-0.919965221162614,-0.0690546375585212,-0.450664092712925,0.0868085324731392,0.0414685245149376,0.926153760188571,-0.640474375112658,"Cyp7b1","13123"
"ENSMUSG00000039697",-0.891186262087467,-0.22188876996481,-0.41004028585698,0.120286888223422,-0.0198118717574801,0.894076837412539,-0.516160619787646,"Ncoa7","211329"
"ENSMUSG00000039813",-0.890141184697595,-0.189807130676397,-0.484220834373884,0.244704262883294,-0.0283905119231531,0.828243699601027,-0.0769316645943754,"Tbc1d2","381605"
"ENSMUSG00000040016",-0.874266046065102,-0.209862658534816,-0.102273115492682,-0.133026901557017,-0.223661993048826,0.884040567258773,-0.542937829505812,"Ptger3","19218"
