"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name"
"ENSMUSG00000030787","blue",5893,4911,5384,4797,2692,4617,8462,2630,2708,927,965,840,3756,1013,1857,"Lyve1"
"ENSMUSG00000030789","turquoise",2129,1715,1774,1996,2688,2360,4096,3918,3026,3988,4113,4752,4092,6232,4830,"Itgax"
"ENSMUSG00000030790","grey",274,256,319,247,101,109,343,289,255,162,172,221,492,324,284,"Adm"
"ENSMUSG00000030795","grey",4081,3361,4799,8470,6421,5602,11234,4807,5833,5974,6359,7188,5282,5741,9042,"Fus"
"ENSMUSG00000030798","grey",465,297,351,817,641,659,1359,622,565,758,741,709,725,591,878,"Cd37"
"ENSMUSG00000030862","turquoise",97,79,80,83,86,95,171,229,250,245,196,406,252,307,298,"Cpxm2"
"ENSMUSG00000030878","blue",982,894,782,835,592,622,1411,653,1139,477,484,492,1299,633,1263,"Cdr2"
"ENSMUSG00000030954","turquoise",13,15,14,10,20,24,60,132,211,185,114,135,314,139,224,"Gp2"
"ENSMUSG00000031007","turquoise",1874,1498,1696,1884,1761,1628,3260,2369,2718,2251,2215,2593,3126,3050,3456,"Atp6ap2"
"ENSMUSG00000031016","turquoise",526,416,397,653,776,748,1389,715,928,835,910,772,779,1052,1294,"Wee1"
"ENSMUSG00000031097","brown",13,14,13,21,18,967,41,20,26,22,26,22,17,27,43,"Tnni2"
"ENSMUSG00000031167","turquoise",2114,2189,3022,3745,3114,3713,6685,3870,4650,3730,4054,3833,4432,4070,4179,"Rbm3"
"ENSMUSG00000031196","turquoise",40,51,48,95,65,77,154,134,99,138,147,160,135,203,241,"F8"
"ENSMUSG00000031200","blue",172,158,86,206,198,152,355,105,183,96,141,129,149,99,266,"Mtcp1"
"ENSMUSG00000031216","blue",2295,2186,2537,2811,2439,1977,4435,1850,2732,1859,2022,1821,2916,1895,3045,"Stard8"
"ENSMUSG00000031217","blue",4358,4072,4170,4282,3338,3085,6065,2972,4078,2022,2607,2337,5235,2773,4317,"Efnb1"
"ENSMUSG00000031239","turquoise",383,331,350,339,357,435,675,595,566,534,504,660,730,839,848,"Itm2a"
"ENSMUSG00000031258","grey",14,13,6,62,19,63,72,27,35,43,42,23,25,31,42,"Xkrx"
"ENSMUSG00000031266","turquoise",312,252,329,361,342,311,547,598,512,572,555,727,649,852,688,"Gla"
"ENSMUSG00000031278","turquoise",4556,4840,4682,5870,7302,4875,8879,5354,6905,6150,5564,7424,7469,7602,9282,"Acsl4"
"ENSMUSG00000031283","grey",577,416,346,432,451,466,981,461,771,400,523,273,764,600,696,"Chrdl1"
"ENSMUSG00000031327","grey",178,111,164,287,136,206,276,148,165,138,172,149,218,308,214,"Chic1"
"ENSMUSG00000031340","blue",80,87,67,92,84,77,162,36,53,30,39,47,60,23,72,"Gabre"
"ENSMUSG00000031375","turquoise",15719,13907,11835,16052,13448,12933,25463,20659,23297,19328,19536,22038,25586,24732,29974,"Bgn"
"ENSMUSG00000031431","grey",5754,5945,5595,5842,5052,6957,11786,6807,8149,3436,6262,4601,9800,9319,6800,"Tsc22d3"
"ENSMUSG00000031438","turquoise",243,184,282,335,389,238,432,740,472,631,556,963,663,1001,684,"Rnf128"
"ENSMUSG00000031442","blue",1715,1732,2782,2532,2092,1762,4025,1253,2394,1541,2256,1753,2774,2100,2916,"Mcf2l"
"ENSMUSG00000031443","turquoise",523,461,642,584,790,519,871,810,624,946,1009,804,927,1462,1224,"F7"
"ENSMUSG00000031448","grey",80,89,42,68,25,79,83,29,120,18,27,60,92,47,129,"Adprhl1"
"ENSMUSG00000031451","turquoise",8135,7493,8428,10485,9135,8582,17389,13403,16514,12167,12483,12842,17477,15383,19519,"Gas6"
"ENSMUSG00000031461","brown",418,372,295,507,216,793,676,225,708,216,199,362,466,244,791,"Myom2"
"ENSMUSG00000031489","blue",247,209,156,251,185,194,397,122,260,135,133,130,280,130,361,"Adrb3"
"ENSMUSG00000031494","grey",498,222,175,217,141,231,294,222,393,264,217,237,603,369,533,"Cd209a"
"ENSMUSG00000031497","turquoise",474,356,409,628,396,445,1134,716,1085,625,763,640,1049,834,1105,"Tnfsf13b"
"ENSMUSG00000031502","turquoise",16834,15555,14367,16520,16039,11541,27020,24437,27491,23823,26418,32604,35281,35350,42697,"Col4a1"
"ENSMUSG00000031503","turquoise",14022,12991,11583,14521,13423,10389,24903,19443,23370,19564,22214,26618,28140,28253,32996,"Col4a2"
"ENSMUSG00000031506","turquoise",172,157,181,228,178,225,381,324,306,297,309,351,339,364,372,"Ptpn7"
"ENSMUSG00000031517","turquoise",1677,1601,1823,2423,1913,1428,4584,2370,3370,2184,2068,1964,3647,2456,3842,"Gpm6a"
"ENSMUSG00000031530","grey",306,360,353,546,600,303,584,249,540,407,377,383,459,300,603,"Dusp4"
