"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000043496","blue",730,478,426,809,560,549,946,282,520,477,427,370,562,407,592,"Tril","66873"
"ENSMUSG00000038065","blue",1229,994,971,1491,1001,996,2148,914,1551,800,868,760,1517,1011,1779,"Mturn","68235"
"ENSMUSG00000003477","blue",22878,18019,20919,25468,19184,21231,39118,17253,25242,16201,16637,13074,29591,17795,28559,"Inmt","21743"
"ENSMUSG00000004655","blue",19755,15366,14967,17418,13768,13193,25635,12666,17944,10409,9407,10012,20232,10004,18244,"Aqp1","11826"
"ENSMUSG00000045441","blue",1006,690,336,830,610,470,1022,445,773,407,400,386,785,448,613,"Gprin3","243385"
"ENSMUSG00000025889","blue",341,402,210,508,308,321,1010,121,272,204,167,178,219,160,379,"Snca","20617"
"ENSMUSG00000054422","blue",99,132,185,222,160,87,267,18,123,43,51,20,98,56,195,"Fabp1","14080"
"ENSMUSG00000053907","blue",4923,5035,3793,4635,3579,4052,8227,4455,5775,2912,3899,4026,6616,4731,7947,"Mat2a","232087"
"ENSMUSG00000063415","blue",138,309,414,1088,576,539,1652,81,97,357,238,186,300,113,376,"Cyp26b1","232174"
"ENSMUSG00000015053","blue",3248,2821,3131,3669,2121,2024,4839,2342,3433,1593,2065,1504,3989,2146,3385,"Gata2","14461"
"ENSMUSG00000030087","blue",884,887,886,656,633,710,1390,670,1095,417,757,504,1430,1067,1124,"Klf15","66277"
"ENSMUSG00000034037","blue",2672,2310,1941,2539,2040,1612,3627,1592,2429,1651,1738,1757,2999,1819,3022,"Fgd5","232237"
"ENSMUSG00000097462","blue",208,173,148,317,225,224,499,143,260,147,148,157,210,166,258,"9530026P05Rik","330385"
"ENSMUSG00000030067","blue",4655,3566,3305,4044,3933,2845,5428,2258,3491,2887,2718,2802,4357,2680,4279,"Foxp1","108655"
"ENSMUSG00000030278","blue",516,446,504,596,466,556,1083,284,841,396,266,299,667,356,800,"Cidec","14311"
"ENSMUSG00000030134","blue",2564,2141,1889,2658,2113,1635,3339,1024,1929,1368,1366,1203,2230,1175,2379,"Rasgef1a","70727"
"ENSMUSG00000001930","blue",9363,7826,7486,13561,7894,7793,20469,7665,10036,6967,6945,9397,10918,7824,11114,"Vwf","22371"
"ENSMUSG00000030352","blue",5986,5074,4431,4846,3989,3568,6964,3769,5095,3426,3765,3737,6896,4291,5946,"Tspan9","109246"
"ENSMUSG00000033082","blue",2626,2347,2637,4349,2864,2575,5827,1806,2984,2648,2867,2200,3101,2259,3585,"Clec1a","243653"
"ENSMUSG00000030189","blue",2449,2181,2317,2316,1952,2291,3713,2055,2667,1587,1733,1764,3318,2180,2855,"Ybx3","56449"
