gene1	module1	X88	X89	X90	X92	X93	X94	X97	X99	X101	X103	X104	X105	X108	X109	X110	Gene.name	EntrezID
ENSMUSG00000037005	turquoise	282	171	237	323	299	304	701	287	602	442	459	338	588	413	839	Xpnpep2	170745
ENSMUSG00000062184	turquoise	157	107	118	154	143	117	322	240	307	270	219	225	322	277	397	Hs6st2	50786
ENSMUSG00000031375	turquoise	15719	13907	11835	16052	13448	12933	25463	20659	23297	19328	19536	22038	25586	24732	29974	Bgn	12111
ENSMUSG00000031196	turquoise	40	51	48	95	65	77	154	134	99	138	147	160	135	203	241	F8	14069
ENSMUSG00000034457	turquoise	110	104	84	90	97	142	322	372	569	348	388	372	464	395	615	Eda2r	245527
ENSMUSG00000015665	turquoise	24	2	5	6	15	20	9	50	16	56	65	113	28	157	43	Awat1	245533
ENSMUSG00000086503	turquoise	10169	8632	6155	13979	13866	8459	20246	9648	14388	12333	12621	13311	12834	13269	20502	Xist	213742
ENSMUSG00000033777	turquoise	215	170	223	273	230	227	449	626	334	688	662	874	505	970	543	Tlr13	279572
ENSMUSG00000050921	turquoise	213	183	155	338	255	398	634	343	422	300	264	410	425	344	414	P2ry10	78826
ENSMUSG00000031239	turquoise	383	331	350	339	357	435	675	595	566	534	504	660	730	839	848	Itm2a	16431
ENSMUSG00000025597	turquoise	42	55	39	57	37	48	114	138	132	154	158	167	214	302	293	Klhl4	237010
ENSMUSG00000031266	turquoise	312	252	329	361	342	311	547	598	512	572	555	727	649	852	688	Gla	11605
ENSMUSG00000050071	turquoise	6	16	26	28	44	19	28	69	16	37	37	88	37	88	33	Bex1	19716
ENSMUSG00000042712	turquoise	2345	2141	3017	2352	2961	2073	3363	2786	3033	2368	2436	2956	3904	3596	3843	Tceal9	22381
ENSMUSG00000031438	turquoise	243	184	282	335	389	238	432	740	472	631	556	963	663	1001	684	Rnf128	66889
ENSMUSG00000042425	turquoise	9	3	8	12	9	2	17	31	25	20	26	64	31	41	39	Frmpd3	245643
ENSMUSG00000031278	turquoise	4556	4840	4682	5870	7302	4875	8879	5354	6905	6150	5564	7424	7469	7602	9282	Acsl4	50790
ENSMUSG00000041633	turquoise	506	447	443	642	547	539	1083	905	824	1044	1028	1208	1001	1491	1489	Kctd12b	207474
ENSMUSG00000057457	turquoise	76	63	53	91	67	94	123	277	217	224	175	388	251	279	330	Phex	18675
ENSMUSG00000040522	turquoise	491	421	328	480	454	361	683	494	640	574	630	658	646	937	819	Tlr8	170744
ENSMUSG00000027533	turquoise	822	623	973	716	1157	1156	1121	1319	993	1090	1114	1574	1424	1919	1440	Fabp5	16592
ENSMUSG00000062515	turquoise	1618	1371	1263	1609	959	1699	3305	1650	3486	1741	1518	1774	3316	2287	3394	Fabp4	11770
ENSMUSG00000027555	turquoise	148	115	100	141	159	209	259	211	242	236	222	258	269	287	313	Car13	71934
ENSMUSG00000025128	turquoise	113	92	85	162	105	121	241	180	241	198	176	230	231	224	305	Bhlhe22	59058
ENSMUSG00000039519	turquoise	93	50	77	125	79	119	252	182	194	242	204	288	214	282	307	Cyp7b1	13123
ENSMUSG00000003617	turquoise	3995	3514	3657	4335	3438	3142	8028	5428	6362	5340	5008	5824	7630	6306	8256	Cp	12870
ENSMUSG00000001865	turquoise	98	89	96	86	63	87	223	870	679	968	888	861	740	1294	1251	Cpa3	12873
ENSMUSG00000027698	turquoise	1909	1438	1539	2044	1909	1767	3160	1909	2493	2478	2331	2520	2929	3241	3272	Nceh1	320024
ENSMUSG00000027663	turquoise	712	601	592	583	644	552	1264	1057	1423	921	989	1066	1383	1263	1755	Zmat3	22401
ENSMUSG00000027737	turquoise	192	168	145	206	212	166	411	446	390	351	350	379	528	494	493	Slc7a11	26570
ENSMUSG00000023087	turquoise	248	240	226	205	238	210	433	337	356	191	209	269	430	488	625	Noct	12457
ENSMUSG00000027748	turquoise	1	1	1	0	0	1	2	19	9	11	7	17	4	17	9	Trpc4	22066
ENSMUSG00000027797	turquoise	257	172	144	174	206	222	437	381	414	404	344	423	386	431	502	Dclk1	13175
ENSMUSG00000050075	turquoise	83	61	56	117	90	140	239	156	157	101	96	164	159	198	220	Gpr171	229323
ENSMUSG00000036381	turquoise	224	207	225	200	222	193	364	327	303	304	291	349	370	449	436	P2ry14	140795
ENSMUSG00000036334	turquoise	337	283	166	351	349	280	595	406	541	486	470	468	463	557	711	Igsf10	242050
ENSMUSG00000027831	turquoise	90	102	95	93	141	94	136	169	156	148	168	175	181	227	301	Veph1	72789
ENSMUSG00000061175	turquoise	1173	834	749	983	950	738	1587	1156	1244	1083	1142	1383	1575	1514	1498	Fnip2	329679
ENSMUSG00000033981	turquoise	3	7	4	8	6	6	11	49	9	25	42	40	20	68	64	Gria2	14800
ENSMUSG00000028019	turquoise	98	73	100	113	89	109	213	186	169	186	197	227	239	296	277	Pdgfc	54635
